Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Krava Krave,574876354,14,8,6,144988,Padme JKA G12 Ahsoka GK GMY
DarthStroyer,831174776,11,6,5,139106,Padme JKA R2 Ahsoka R3 GK GMY
San Holo,688424765,0,0,0,147001,Padme JKA Ahsoka GK GMY
DarthLuther,582755892,14,6,8,142707,Padme R3 JKA G12 Ahsoka GK GMY
Irina,343425637,8,8,0,148154,Padme JKA Ahsoka GK GMY
KingButton,577829298,20,10,10,136576,Padme R2 JKA G11 Ahsoka GK GMY
ClaudioVernight,796552873,6,0,6,137678,Padme JKA G12 Ahsoka GK GMY
Sully,427166661,52,41,11,130839,Padme G10 JKA R2 Ahsoka GK GMY
Boseephuss,678678686,0,0,0,154263,Padme JKA Ahsoka GK GMY
DeputyDan,719787543,19,12,7,133277,Padme R2 JKA Ahsoka R2 GK GMY R4
Blinkcopter,322267458,6,2,4,149822,Padme JKA Ahsoka R1 GK GMY
Gorgonzoloff,958541997,8,0,8,138072,Padme JKA Ahsoka R4 GK R4 GMY G12
DarthTalon,387869794,7,0,7,128890,Padme R4 JKA Ahsoka R1 GK R4 GMY R4
xGhostCaliberx,855417377,16,16,0,148095,Padme JKA Ahsoka GK GMY
Todd Airtrekker,575479859,11,1,10,128166,Padme JKA Ahsoka GK GMY G8
Driller,456288429,18,0,18,112083,Padme R3 JKA G12 Ahsoka R3 GK R3 GMY G12
Daveman,381646847,6,0,6,130515,Padme JKA G12 Ahsoka GK GMY
ShadyT,558572552,6,6,0,153413,Padme JKA Ahsoka GK GMY
NuMex,331898292,0,0,0,137046,Padme JKA Ahsoka GK GMY
Syzagy,285391516,5,5,0,152108,Padme JKA Ahsoka GK GMY
Ron Burgundy,262387629,0,0,0,149100,Padme JKA Ahsoka GK GMY
Andrew,568458516,13,10,3,150386,Padme JKA R4 Ahsoka R3 GK GMY
BloodBane,754255954,10,8,2,134142,Padme JKA R4 Ahsoka GK GMY R4
Ra2327,631393672,3,0,3,141234,Padme JKA Ahsoka GK GMY R2
Chef,528421884,2,2,0,142711,Padme JKA Ahsoka GK GMY
Khromazel,336264674,7,7,0,147913,Padme JKA Ahsoka GK GMY
BrssMnky,117744233,0,0,0,157568,Padme JKA Ahsoka GK GMY
Unclad,372639244,1,1,0,151524,Padme JKA Ahsoka GK GMY
Nerve Gas,787571874,4,4,0,154959,Padme JKA Ahsoka GK GMY
xFirst Orderx,668346416,0,0,0,154031,Padme JKA Ahsoka GK GMY
Hadriel Jetberg,388431689,0,0,0,160644,Padme JKA Ahsoka GK GMY
Yodizzle,611122258,6,6,0,150923,Padme JKA Ahsoka GK GMY
GrumpyPudding,334643198,26,12,14,118610,Padme R3 JKA G12 Ahsoka G12 GK GMY
Apollo,239418337,0,0,0,157976,Padme JKA Ahsoka GK GMY
