Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Mandigo Duco,938411964,21,0,21,Vader+Nute 12%: Vader Nute G9 Thrawn R2 Wat Tambor G10 Traya R4
Revenant SubZero,217859353,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Gundy,234294868,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Rhînò,338841631,22,0,22,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G11 Traya
halfwayhook,486729994,25,0,25,Vader+Nute 12%: Vader Nute G12 Thrawn G10 Wat Tambor G8 Traya R4
Joshua I K Wilson,172459436,12,0,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Talin Vandor,777742531,17,0,17,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor R1 Traya G12
MeMeItsMe,213144715,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
IHL,852181738,13,0,13,Vader+Nute 12%: Vader Nute Thrawn R1 Wat Tambor Traya G9
Odog916,568143631,16,0,16,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G13
sharks198,449632632,30,0,30,Vader+Nute 12%: Vader R3 Nute G7 Thrawn G12 Wat Tambor Traya G7
Jadenhawke,797846433,31,0,31,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G9 Traya G12
Tflynn4141,967139667,18,0,18,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor Traya R4
Black Wülf,466981931,27,0,27,Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G8 Traya
LukebinSolo,957766271,24,0,24,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 Traya R2
Captainblinx,613873926,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Cade Doneeta,619547922,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Chaarisma,226344937,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
KillerKemphfer,249539328,24,0,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
Ashla Bogan,378192553,32,0,32,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G5 Traya G8
T B3AR 14,391652249,18,0,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
микаким,292677973,16,0,16,Vader+Nute 12%: Vader Nute G10 Thrawn R3 Wat Tambor G12 Traya
Shadowtrap,337228443,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
QuarterwayHook,367747775,27,0,27,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G9 Traya R4
GhostGhostGG,146892488,23,0,23,Vader+Nute 12%: Vader Nute G11 Thrawn G11 5* Wat Tambor Traya G9
