Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
KoninginKonan,968292886,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Pommy,142277723,29,9,20,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G11
Texte239,847319871,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
R2D2,889324759,26,11,15,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya G12
MasterShep2,332979431,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Neko,449267729,39,0,39,Vader P1 10%: Vader KRU G11 Wat Tambor G7 6* C-3PO G7 Shaak Ti G8
TonkaDavid,759331513,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Dexter,259247871,17,3,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 Traya R4
BearLee,387139863,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Metatron72,588623761,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Q92,261337715,51,21,30,Vader+Nute 12%: Vader Nute G10 Thrawn G8 Wat Tambor Traya G6
Chirrut Îmwe,592673129,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Rellik,484158711,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Bruhmoment,185679354,34,3,31,Vader P1 10%: Vader KRU G8 Wat Tambor G9 5* C-3PO G12 Shaak Ti G12
JRobertson12,221913824,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Ralthor,639153363,23,1,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya G9
Sometime ago I,735232346,22,3,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Orion,951862265,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Diath,858559118,12,12,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Bigs Little,617228366,33,0,33,Vader+Nute 12%: Vader Nute G8 Thrawn R2 Wat Tambor G8 Traya G8
Jameson,922247616,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
DarthDD,134374124,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Ωhme,449894731,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MINI KingSteel,254276153,28,9,19,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya G12
Bearzerker,224595239,26,1,25,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya G7
skull crusher,776436941,27,0,27,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 Traya G12
WildfireX,552286427,17,9,8,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya R3
Ghost Nappa,365784761,33,6,27,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor G12 Traya G12
swine destroyer,938382827,20,4,16,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya
Azza 2017,525689438,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Vaha68,517167991,26,11,15,Vader+Nute 12%: Vader Nute G13 Thrawn Wat Tambor R1 Traya G12
DarthSinister,787198725,28,14,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya G13
IceStoy,298744196,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Qin Phfal,237375819,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Daadcity,444374162,17,0,17,Vader P1 10%: Vader KRU G8 Wat Tambor G11 4* C-3PO Shaak Ti
Dhsk,466455974,31,6,25,Vader P1 10%: Vader KRU Wat Tambor G8 5* C-3PO G12 Shaak Ti G9
Blp2401,795254344,36,15,21,Vader+Nute 12%: Vader Nute G10 Thrawn G11 Wat Tambor Traya G12
Inquísìtor Strize,486434149,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Serpens,645725141,39,0,39,Vader+Nute 12%: Vader Nute G7 Thrawn G9 Wat Tambor G9 Traya G8
lnquisitor Psyche,664811664,27,5,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya G11
jhitt7,612627154,11,0,11,Vader P1 10%: Vader R3 KRU Wat Tambor G9 4* C-3PO Shaak Ti
BabyGoat851,996376328,23,0,23,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G13 Wat Tambor Traya G8
Jason,467564358,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
CT5555,981748341,38,3,35,Vader+Nute 12%: Vader Nute G8 Thrawn G9 Wat Tambor G9 Traya G11
Mo Yin,524533215,18,14,4,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R3 Traya R3
乂ιρ,691737775,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya G11
