Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dhsk,466455974,31,6,25,Vader P1 10%: Vader KRU Wat Tambor G8 5* C-3PO G12 Shaak Ti G9
Sometime ago I,735232346,22,3,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Azza 2017,525689438,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Chirrut Îmwe,592673129,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
CT5555,981748341,38,3,35,Vader+Nute 12%: Vader Nute G8 Thrawn G9 Wat Tambor G9 Traya G11
Dexter,259247871,17,3,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 Traya R4
Bigs Little,617228366,33,0,33,Vader+Nute 12%: Vader Nute G8 Thrawn R2 Wat Tambor G8 Traya G8
Inquísìtor Strize,486434149,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
WildfireX,552286427,17,9,8,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor Traya R3
DarthDD,134374124,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
skull crusher,776436941,27,0,27,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G10 Traya G12
Bruhmoment,185679354,34,3,31,Vader P1 10%: Vader KRU G8 Wat Tambor G9 5* C-3PO G12 Shaak Ti G12
MasterShep2,332979431,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
lnquisitor Psyche,664811664,27,5,22,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya G11
swine destroyer,938382827,20,4,16,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya
Qin Phfal,237375819,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
MINI KingSteel,254276153,28,9,19,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya G12
R2D2,889324759,26,11,15,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya G12
Vaha68,517167991,26,11,15,Vader+Nute 12%: Vader Nute G13 Thrawn Wat Tambor R1 Traya G12
Ωhme,449894731,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Orion,951862265,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
IceStoy,298744196,33,14,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Daadcity,444374162,17,0,17,Vader P1 10%: Vader KRU G8 Wat Tambor G11 4* C-3PO Shaak Ti
jhitt7,612627154,11,0,11,Vader P1 10%: Vader R3 KRU Wat Tambor G9 4* C-3PO Shaak Ti
Blp2401,795254344,36,15,21,Vader+Nute 12%: Vader Nute G10 Thrawn G11 Wat Tambor Traya G12
Neko,449267729,39,0,39,Vader P1 10%: Vader KRU G11 Wat Tambor G7 6* C-3PO G7 Shaak Ti G8
乂ιρ,691737775,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya G11
KoninginKonan,968292886,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Jason,467564358,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Pommy,142277723,29,9,20,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G11
Mo Yin,524533215,18,14,4,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R3 Traya R3
BabyGoat851,996376328,23,0,23,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G13 Wat Tambor Traya G8
DarthSinister,787198725,28,14,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya G13
Rellik,484158711,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Ghost Nappa,365784761,33,6,27,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor G12 Traya G12
Q92,261337715,51,21,30,Vader+Nute 12%: Vader Nute G10 Thrawn G8 Wat Tambor Traya G6
BearLee,387139863,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
TonkaDavid,759331513,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Texte239,847319871,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Jameson,922247616,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
JRobertson12,221913824,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Diath,858559118,12,12,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Bearzerker,224595239,26,1,25,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya G7
Metatron72,588623761,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ralthor,639153363,23,1,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 6* Traya G9
Serpens,645725141,39,0,39,Vader+Nute 12%: Vader Nute G7 Thrawn G9 Wat Tambor G9 Traya G8
