Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Lillyanna,938276726,6,6,0,CLS: CLS C-3PO Han Chewbacca Chewpio
Lillyanna,938276726,36,2,34,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader Thrawn G7 6* Shoretrooper G8
Lillyanna,938276726,50,0,50,Troopers: Veers G9 Piett G8 Dark Trooper G7 6* Range Trooper G8 5* Gideon G8
Lillyanna,938276726,48,1,47,Padme/BB: Padme G12 Hunter G8 5* Echo G8 5* Tech G8 5* Wrecker G7 5*
GeneralMarkus,789995519,32,0,32,EP: EP Mara Jade, The Emperor's Hand G9 3* Vader R3 Thrawn G8 RG G7
GeneralMarkus,789995519,41,8,33,Troopers: Veers G12 Piett R3 Dark Trooper G10 Range Trooper G8 Gideon G11
HarryTheHutt,683648442,28,7,21,EP: EP G12 Mara Jade, The Emperor's Hand G10 4* Vader Thrawn G11 Malak
HarryTheHutt,683648442,42,13,29,CLS: CLS R4 C-3PO G12 Han G12 Chewbacca G11 Chewpio G9
HarryTheHutt,683648442,49,15,34,Troopers: Veers G12 Piett R3 Dark Trooper G9 6* Range Trooper G8 Starck G11
Smoopy,977522524,44,0,44,EP: EP G10 Mara Jade, The Emperor's Hand G12 Vader G12 Thrawn G7 RG G5
Tronibrall,177621662,50,0,50,Padme/BB: Padme G8 6* Hunter G8 5* Echo G8 5* Tech G8 6* Wrecker G8 5*
TK4811,319498394,47,1,46,EP: EP G9 Mara Jade, The Emperor's Hand G10 3* Vader G9 Thrawn G8 6* Shoretrooper G8 5*
Obi1ablowme,421142431,37,0,37,EP: EP G12 Mara Jade, The Emperor's Hand G11 Vader G12 Thrawn G9 6* Shoretrooper G9 5*
Porg,325919928,49,0,49,Padme/BB: Padme G8 6* Hunter G8 5* Echo G8 4* Tech G9 5* Wrecker G8 5*
DarthGutty,357188912,26,26,0,CLS: CLS C-3PO Han Chewbacca Chewpio
DarthGutty,357188912,31,9,22,EP: EP R3 Mara Jade, The Emperor's Hand G12 Vader Thrawn G12 Malak G10 5*
DarthGutty,357188912,30,0,30,Padme/BB: Padme G12 Hunter G12 Echo G12 Tech G12 Wrecker G12
DarthGutty,357188912,46,16,30,Troopers: Veers G12 Piett G12 Dark Trooper G12 Range Trooper G12 Gideon G12
Ethan Geilvta,671426777,42,0,42,EP: EP G11 Mara Jade, The Emperor's Hand G8 4* Vader G11 Thrawn G10 Shoretrooper G8 5*
Surfer1027,122824241,47,0,47,Padme/BB: Padme G8 5* Hunter G9 3* Echo G9 2* Tech G9 3* Wrecker G8 4*
TCLincoln,193327199,34,34,0,Padme/BB: Padme Hunter Echo Tech Wrecker
TCLincoln,193327199,5,0,5,CLS: CLS C-3PO R3 Han R3 Chewbacca R4 Chewpio
Erotavlas,187715758,36,7,29,EP: EP R1 Mara Jade, The Emperor's Hand G12 Vader Thrawn G9 Shoretrooper G8
RedEyeJedi,449715953,28,1,27,Troopers: Veers G9 6* Piett G12 Dark Trooper G12 Range Trooper G12 Gideon
