Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Lillyanna,938276726,19,19,0,142270,Padme JKA Ahsoka GK GMY
FinalKryptonian,144826213,71,6,65,26931,Padme G0 0* JKA G6 6* Ahsoka G6 GK G6 6* GMY G7
Ethan Geilvta,671426777,62,9,53,51525,Padme G0 0* JKA G9 5* Ahsoka G8 GK G8 GMY G12
Vegas Vic,151842775,72,35,37,81303,Padme G8 JKA G11 Ahsoka G12 GK G6 GMY R3
Erotavlas,187715758,62,37,25,99083,Padme G11 JKA G12 Ahsoka G12 GK G12 GMY
GeneralMarkus,789995519,60,24,36,80922,Padme G10 6* JKA G12 Ahsoka G12 GK G8 GMY G12
DarthGutty,357188912,25,19,6,129237,Padme R3 JKA R3 Ahsoka R3 GK GMY
extra hihi,327242484,81,11,70,16212,Padme G0 0* JKA G8 Ahsoka G5 3* GK G6 5* GMY G1 5*
DarthHoratius,899145955,84,28,56,51729,Padme G0 0* JKA G12 Ahsoka G9 GK G1 5* GMY G12
Omega99,394524611,84,28,56,39278,Padme G0 0* JKA G9 5* Ahsoka G8 GK G8 6* GMY G9 5*
Cerberus567,145897793,63,15,48,51408,Padme G7 5* JKA G10 Ahsoka G8 GK G6 6* GMY G11
Porg,325919928,27,5,22,112406,Padme G8 6* JKA G12 Ahsoka GK G12 GMY
Miketoker,125899287,62,0,62,43850,Padme G0 0* JKA G8 Ahsoka G8 GK G0 0* GMY G12
TheRobertEquation,477473882,77,45,32,86603,Padme G12 JKA G11 Ahsoka G12 GK G11 GMY G12
Tronibrall,177621662,58,0,58,33687,Padme G8 6* JKA G8 5* Ahsoka G7 GK G0 0* GMY G9
TCLincoln,193327199,1,0,1,135740,Padme JKA Ahsoka R4 GK GMY
GamingChips,958661216,35,20,15,120540,Padme G12 JKA Ahsoka R3 GK R4 GMY G12
Blankinside,227643771,63,4,59,31183,Padme G6 6* JKA G5 2* Ahsoka G8 GK G5 5* GMY G7
Tuftydragon,218965475,76,1,75,10830,Padme G0 0* JKA G3 2* Ahsoka G4 5* GK G0 0* GMY G8 5*
Mfdvisualgerm,748117691,68,9,59,40130,Padme G0 0* JKA G8 6* Ahsoka G11 GK G0 0* GMY G12
HannibalHunter,669271694,63,9,54,52023,Padme G0 0* JKA G12 Ahsoka G12 GK G0 0* GMY G12
Razak,521844241,78,10,68,29891,Padme G6 6* JKA G1 1* Ahsoka G11 GK G0 0* GMY G4
Knights of Ren,264553895,74,0,74,20036,Padme G0 0* JKA G8 4* Ahsoka G2 GK G0 0* GMY G6
RedEyeJedi,449715953,48,13,35,79121,Padme G3 5* JKA G12 Ahsoka GK G10 5* GMY G12
Obi1ablowme,421142431,44,2,42,81302,Padme G12 JKA G12 Ahsoka G12 GK G0 0* GMY G12
Cylo Jr,942814391,76,8,68,31807,Padme G1 JKA G8 Ahsoka G8 GK G1 5* GMY G4
Striker,274722957,54,0,54,53533,Padme G0 0* JKA G5 5* Ahsoka G12 GK G1 5* GMY
sparky8099,977261125,48,8,40,69858,Padme G10 6* JKA G11 5* Ahsoka G7 GK G11 GMY G11
JackTheHutt,223769287,43,0,43,60452,Padme G1 6* JKA G12 Ahsoka G8 6* GK G8 6* GMY
MeowMeow,258365793,55,6,49,59469,Padme G0 0* JKA G11 6* Ahsoka G12 GK G12 GMY G6 6*
CameronForte,818853823,56,0,56,40463,Padme G0 0* JKA G8 5* Ahsoka G11 GK G6 GMY G9
jackk123,995865924,83,1,82,4061,Padme G0 0* JKA G1 1* Ahsoka G6 3* GK G0 0* GMY G1 5*
ColaKikgBeast,387778898,65,0,65,26188,Padme G0 0* JKA G8 5* Ahsoka G8 GK G0 0* GMY G9
Coolman6456,568778898,59,1,58,43905,Padme G2 5* JKA G1 2* Ahsoka G8 GK G9 6* GMY G12
natebzta,994951475,63,11,52,56505,Padme G8 JKA G1 4* Ahsoka G10 GK G7 GMY G12
Devin,333273848,52,0,52,47726,Padme G7 5* JKA G8 6* Ahsoka G11 GK G0 0* GMY G12
TK4811,319498394,58,1,57,42100,Padme G0 0* JKA G6 5* Ahsoka G8 GK G8 5* GMY G11
ShogiBeast,232314461,69,0,69,32523,Padme G0 0* JKA G11 Ahsoka G8 GK G1 5* GMY G1
gingervictus,818367247,61,1,60,41667,Padme G0 0* JKA G8 5* Ahsoka G11 GK G0 0* GMY G11
ShMuT,935548855,72,0,72,12947,Padme G0 0* JKA G5 1* Ahsoka G4 3* GK G0 0* GMY G9 5*
SkinnyWarriorX01,692882845,46,0,46,53187,Padme G8 6* JKA G8 5* Ahsoka G12 GK G8 5* GMY G8
Typical,564585493,62,0,62,36943,Padme G0 0* JKA G3 2* Ahsoka G8 GK G8 6* GMY G9
Kapwing,246698169,69,0,69,27672,Padme G0 0* JKA G3 4* Ahsoka G8 GK G0 0* GMY G10
Mayonnaise,311959482,14,0,14,124448,Padme R3 JKA G12 Ahsoka G12 GK GMY
murkywarf,552923342,48,0,48,49297,Padme G8 JKA G8 5* Ahsoka G9 GK G7 6* GMY G10
DarthSutfol,441199375,54,0,54,57574,Padme G8 6* JKA G8 Ahsoka G8 GK G0 0* GMY G12
Illiad,635977593,38,0,38,84335,Padme G9 JKA G1 4* Ahsoka G7 GK GMY R4
Xarth,984792789,3,1,2,130919,Padme JKA Ahsoka R4 GK R4 GMY
Valerian,836492571,59,0,59,35868,Padme G6 6* JKA G8 6* Ahsoka G8 GK G0 0* GMY G9
Mightyone,258922997,67,2,65,48285,Padme G0 0* JKA G6 Ahsoka G8 GK G0 0* GMY G11
