Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Bail Writte SBR,614917386,21,0,21,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor Traya G12
Docbones D2,527897336,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MINI SeahawksRule,918679552,29,0,29,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 Traya G9
Nolei,549142231,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DoubleA1977,599659874,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Carl,387674373,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
OBI  haaave,821927811,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Mr Bhaumik,156581864,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Wal Enetia,632221747,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Lex Skywalkers,941584821,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Maldorin,626473749,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
BB8,795495542,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DE210,252111674,29,17,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R2
Dingleberries,884349413,34,6,28,Vader+Nute 12%: Vader Nute G12 Thrawn G10 Wat Tambor G11 6* Traya G11
AnalkinSkyballer,552289286,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Flacko Gäb,916745784,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Chim,593656187,28,6,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G7
carnage007,321929779,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sho Nuff,564944361,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
havok935,658932824,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Xian Thencal,364735245,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
ICEU420,469138648,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Eeotchbay,815697888,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Zeech,541794515,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Kavgill,225559995,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Freezefiveoh,383311984,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Kreacher,228517748,17,6,11,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G9 5* Traya R3
skyCapt,275781532,20,20,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Maong,131681652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Jace,147722673,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
A,914999757,22,14,8,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R3 Traya G12
Koneko,645198681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Defenestrația,844978443,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Amun Diin,969738181,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Byrd,843549314,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Qui Hanobi,668125712,27,0,27,Vader+Nute 12%: Vader Nute G12 Thrawn G8 Wat Tambor Traya G7
Lenders Quizan,132983974,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
JollyRoger99,965654756,26,5,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya G12
The Great One US,496489926,17,10,7,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G12 Traya R4
Largie,224583578,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DLeviticus,458876211,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Soulhunter,191168838,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
DPrice25,358247244,33,16,17,Vader P1 10%: Vader KRU G8 Wat Tambor G11 C-3PO BB-8
Ventress Wannabee,899636471,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Fluffy the Destroyer,791691489,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Bäne,961467978,10,0,10,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R3 Traya
RAGNAR777,118722255,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Chubler,144743434,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
