Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
MINI SeahawksRule,918679552,29,0,29,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 Traya G9
Chim,593656187,28,6,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G7
DPrice25,358247244,33,15,18,Vader P1 10%: Vader KRU G8 Wat Tambor G10 C-3PO BB-8
Docbones D2,527897336,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Maldorin,626473749,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Byrd,843549314,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
BB8,795495542,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
skyCapt,275781532,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Jace,147722673,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kavgill,225559995,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Fluffy the Destroyer,791691489,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DoubleA1977,599659874,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Mr Bhaumik,156581864,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Carl,387674373,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Eeotchbay,815697888,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ventress Wannabee,899636471,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
OBI  haaave,821927811,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
AnalkinSkyballer,552289286,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Largie,224583578,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Amun Diin,969738181,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Flacko Gäb,916745784,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
The Great One US,496489926,17,7,10,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G12 Traya R1
Kreacher,228517748,17,6,11,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G9 5* Traya R3
RAGNAR777,118722255,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Zeech,541794515,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
havok935,658932824,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Soulhunter,191168838,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Maong,131681652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Wal Enetia,632221747,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Koneko,645198681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DLeviticus,458876211,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bail Writte SBR,614917386,21,0,21,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor Traya G12
Xian Thencal,364735245,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Chubler,144743434,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI tar2908,974181951,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DE210,252111674,29,17,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R2
A,914999757,22,14,8,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R3 Traya G12
Lenders Quizan,132983974,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
JollyRoger99,965654756,26,5,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 6* Traya G12
carnage007,321929779,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nolei,549142231,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bäne,961467978,10,0,10,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R3 Traya
Lex Skywalkers,941584821,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dingleberries,884349413,34,1,33,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G9 6* Traya G10
Freezefiveoh,383311984,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sho Nuff,564944361,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
ICEU420,469138648,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Defenestrația,844978443,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
