Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
A,914999757,22,14,8,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R3 Traya G12
Docbones D2,527897336,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Wal Enetia,632221747,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Freezefiveoh,383311984,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
JollyRoger99,965654756,26,5,21,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 6* Traya G12
DoubleA1977,599659874,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DLeviticus,458876211,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Mr Bhaumik,156581864,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Lenders Quizan,132983974,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Kavgill,225559995,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Dingleberries,884349413,34,0,34,Vader+Nute 12%: Vader Nute G11 Thrawn G9 Wat Tambor G9 6* Traya G9
havok935,658932824,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Chim,593656187,28,6,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya G7
Xian Thencal,364735245,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
The Great One US,496489926,17,7,10,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G12 Traya R1
Soulhunter,191168838,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Fluffy the Destroyer,791691489,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Maldorin,626473749,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Nolei,549142231,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Sho Nuff,564944361,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Largie,224583578,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ventress Wannabee,899636471,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bäne,961467978,10,0,10,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R3 Traya
MINI tar2908,974181951,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Byrd,843549314,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Kreacher,228517748,17,6,11,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor G9 5* Traya R3
Jace,147722673,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
MINI SeahawksRule,918679552,29,0,29,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G11 Traya G9
AnalkinSkyballer,552289286,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
JesusFreak,548679439,7,0,7,Vader P1 10%: Vader KRU G11 Wat Tambor C-3PO Shaak Ti
Zeech,541794515,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Flacko Gäb,916745784,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ICEU420,469138648,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Koneko,645198681,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
RAGNAR777,118722255,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Lex Skywalkers,941584821,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Bail Writte SBR,614917386,21,0,21,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor Traya G12
BB8,795495542,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
carnage007,321929779,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Carl,387674373,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Maong,131681652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
skyCapt,275781532,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Eeotchbay,815697888,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Amun Diin,969738181,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Chubler,144743434,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Defenestrația,844978443,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
DE210,252111674,29,17,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R2 Traya R2
OBI  haaave,821927811,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DPrice25,358247244,33,15,18,Vader P1 10%: Vader KRU G8 Wat Tambor G10 C-3PO BB-8
