Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
JollyRoger99,965654756,16,9,7,132253,Padme JKA Ahsoka R4 GK GMY G12
Sho Nuff,564944361,5,5,0,151056,Padme JKA Ahsoka GK GMY
Flacko Gäb,916745784,0,0,0,149317,Padme JKA Ahsoka GK GMY
Ventress Wannabee,899636471,0,0,0,160435,Padme JKA Ahsoka GK GMY
A,914999757,0,0,0,145452,Padme JKA Ahsoka GK GMY
Carl,387674373,0,0,0,155054,Padme JKA Ahsoka GK GMY
Nolei,549142231,0,0,0,152768,Padme JKA Ahsoka GK GMY
Byrd,843549314,0,0,0,152835,Padme JKA Ahsoka GK GMY
LordVader,429468482,4,0,4,150097,Padme JKA Ahsoka R1 GK GMY
Fluffy the Destroyer,791691489,0,0,0,157145,Padme JKA Ahsoka GK GMY
RAGNAR777,118722255,0,0,0,151152,Padme JKA Ahsoka GK GMY
OBI  haaave,821927811,5,2,3,138790,Padme JKA Ahsoka R4 GK GMY R3
Largie,224583578,0,0,0,155632,Padme JKA Ahsoka GK GMY
Jace,147722673,0,0,0,158058,Padme JKA Ahsoka GK GMY
Maong,131681652,0,0,0,159058,Padme JKA Ahsoka GK GMY
Xian Thencal,364735245,1,1,0,156932,Padme JKA Ahsoka GK GMY
DPrice25,358247244,53,35,18,115146,Padme G12 JKA Ahsoka G12 GK GMY G12
Lex Skywalkers,941584821,0,0,0,156745,Padme JKA Ahsoka GK GMY
Bail Writte SBR,614917386,9,0,9,136814,Padme R4 JKA G12 Ahsoka R3 GK GMY
havok935,658932824,6,6,0,154121,Padme JKA Ahsoka GK GMY
skyCapt,275781532,0,0,0,154671,Padme JKA Ahsoka GK GMY
Defenestrația,844978443,22,22,0,151038,Padme JKA Ahsoka GK GMY
Chubler,144743434,0,0,0,155931,Padme JKA Ahsoka GK GMY
Chim,593656187,0,0,0,137796,Padme JKA Ahsoka GK GMY
MINI tar2908,974181951,2,0,2,146080,Padme JKA Ahsoka R3 GK GMY
Soulhunter,191168838,0,0,0,154658,Padme JKA Ahsoka GK GMY
Eeotchbay,815697888,0,0,0,154462,Padme JKA Ahsoka GK GMY
MINI SeahawksRule,918679552,6,0,6,127097,Padme JKA Ahsoka GK GMY G12
ICEU420,469138648,11,9,2,152330,Padme R3 JKA Ahsoka GK GMY
Kavgill,225559995,0,0,0,151445,Padme JKA Ahsoka GK GMY
BB8,795495542,0,0,0,157063,Padme JKA Ahsoka GK GMY
Zeech,541794515,6,5,1,147479,Padme JKA Ahsoka GK GMY R4
The Great One US,496489926,7,2,5,143283,Padme JKA Ahsoka R4 GK GMY R1
DoubleA1977,599659874,1,1,0,147873,Padme JKA Ahsoka GK GMY
Koneko,645198681,0,0,0,160449,Padme JKA Ahsoka GK GMY
Santosh,245845133,8,0,8,132905,Padme JKA G12 Ahsoka R3 GK GMY
Maldorin,626473749,0,0,0,151119,Padme JKA Ahsoka GK GMY
Freezefiveoh,383311984,8,6,2,154391,Padme JKA Ahsoka R3 GK GMY
Amun Diin,969738181,8,0,8,142454,Padme R3 JKA Ahsoka G12 GK GMY
Wal Enetia,632221747,0,0,0,150611,Padme JKA Ahsoka GK GMY
Dingleberries,884349413,19,1,18,113371,Padme JKA G12 Ahsoka G12 GK GMY G12
Lenders Quizan,132983974,0,0,0,149134,Padme JKA Ahsoka GK GMY
Kreacher,228517748,3,1,2,142815,Padme JKA Ahsoka R4 GK GMY R4
AnalkinSkyballer,552289286,0,0,0,154387,Padme JKA Ahsoka GK GMY
DE210,252111674,8,3,5,134347,Padme JKA Ahsoka R3 GK GMY R2
Docbones D2,527897336,0,0,0,157414,Padme JKA Ahsoka GK GMY
DLeviticus,458876211,12,5,7,139063,Padme G12 JKA R4 Ahsoka GK GMY
Mr Bhaumik,156581864,0,0,0,160248,Padme JKA Ahsoka GK GMY
Bäne,961467978,8,0,8,128653,Padme JKA Ahsoka R3 GK GMY G12
carnage007,321929779,0,0,0,151999,Padme JKA Ahsoka GK GMY
