Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Egghead,654442979,35,5,30,98837,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Szerahk,958343253,62,8,54,57239,Padme G8 JKA G1 3* Ahsoka G1 GK G12 GMY R1
nate,723479542,46,2,44,64188,Padme G0 0* JKA G8 5* Ahsoka G12 GK G8 6* GMY
Jak Frey,692973843,65,16,49,62479,Padme G7 JKA G7 Ahsoka G9 GK G6 GMY G12
Aeceythar,842688545,0,0,0,149706,Padme JKA Ahsoka GK GMY
Desimo,642239495,61,13,48,54059,Padme G6 6* JKA G9 Ahsoka G10 GK G7 GMY G10
Forsaken,757795424,48,7,41,79176,Padme G1 6* JKA G11 Ahsoka G11 GK R1 GMY G12
MINI SgtGingerbeard,211844511,67,27,40,77263,Padme G8 JKA Ahsoka G3 GK G9 GMY G12
Xander,762457673,31,3,28,98715,Padme G10 JKA Ahsoka G11 GK G11 GMY G12
Megaroutte,899878853,40,10,30,91620,Padme G12 JKA R4 Ahsoka G12 GK G8 GMY G11
OnyXavier,637663384,57,12,45,63181,Padme G8 JKA G9 6* Ahsoka G8 GK G8 GMY G12
Barraza,479721254,56,17,39,86046,Padme G8 JKA G11 Ahsoka G11 GK G10 GMY G11
Pickle rick,266133985,65,33,32,91526,Padme G12 JKA G12 Ahsoka G10 GK G12 GMY G12
esmith1153,736978576,87,18,69,37312,Padme G1 JKA G2 4* Ahsoka G9 GK G6 GMY G3
Coop,972228286,22,6,16,111075,Padme R3 JKA R2 Ahsoka R3 GK R3 GMY G11
Kate,483591584,74,37,37,82182,Padme G9 JKA G11 Ahsoka G12 GK G9 GMY G12
Zephyr,297528578,40,20,20,122401,Padme G11 JKA G11 Ahsoka G12 GK GMY
Yabba,439127848,73,7,66,34188,Padme G1 JKA G8 5* Ahsoka G8 GK G1 5* GMY G6
Prolox150,784616867,54,24,30,81670,Padme G9 5* JKA R4 Ahsoka G11 GK G11 GMY G12
PJMaster,377989166,78,62,16,113834,Padme R3 JKA Ahsoka G12 GK R3 GMY G12
WastedNugget,478123696,66,15,51,44328,Padme G8 JKA G9 Ahsoka G8 GK G7 5* GMY G7
SleepyKiIIer666,456111931,72,34,38,81084,Padme G9 JKA G12 Ahsoka G11 GK G8 GMY G12
Lycoris Solaire,729762928,61,8,53,59195,Padme G8 JKA G10 Ahsoka G10 GK G0 0* GMY G9
MINI Leskiss,112892133,58,5,53,57423,Padme G1 JKA G11 Ahsoka G12 GK G1 6* GMY G12
Smashburger,776444483,50,21,29,97424,Padme G11 JKA R3 Ahsoka G11 GK G11 GMY G12
JadenRaven,329564557,68,1,67,46078,Padme G1 JKA G1 5* Ahsoka G1 GK G8 GMY G12
Citizen Juicer,562445426,57,26,31,86260,Padme G8 JKA G11 6* Ahsoka G11 GK G12 GMY R4
Mol Ace,473196354,58,32,26,94836,Padme G12 JKA Ahsoka R3 GK G6 6* GMY G12
Visigoth83,491397777,49,16,33,87578,Padme G9 JKA G12 Ahsoka G12 GK G12 GMY G12
theLeskiss,626646537,40,9,31,99863,Padme G12 JKA G12 Ahsoka G11 GK G12 GMY G12
Darkside Dad,551997198,40,0,40,72997,Padme G0 0* JKA G12 Ahsoka G10 GK G12 GMY R3
TheMeanDean,579355186,65,32,33,95558,Padme G11 JKA G11 Ahsoka G11 GK G12 GMY G12
ΞL ΞS LΛ LΞGΞNDΛ,993359413,60,2,58,46711,Padme G0 0* JKA G9 5* Ahsoka G10 GK G1 5* GMY G12
Shayna Vetacious,391637392,72,48,24,107741,Padme G12 JKA Ahsoka G12 GK G12 GMY G12
WilsonJason,327282478,38,38,0,143851,Padme JKA Ahsoka GK GMY
GeneralSkywalker,628775779,73,11,62,37001,Padme G1 JKA G8 5* Ahsoka G8 GK G1 6* GMY G10
Blackwing,654686582,60,21,39,82602,Padme G9 JKA G10 Ahsoka G10 GK G11 GMY G11
BenSwoloOnDBOL,871833824,57,15,42,66747,Padme G8 JKA G9 5* Ahsoka G12 GK G7 GMY G12
Galeforce,284743495,63,43,20,104897,Padme R3 JKA R3 Ahsoka G12 GK R3 GMY G10
Orca,527193378,69,62,7,126649,Padme JKA Ahsoka GK GMY G11
Peu Trid,631967535,40,24,16,111191,Padme R3 JKA Ahsoka G12 GK G12 GMY R3
DumbNugget,755976984,73,39,34,81701,Padme G12 JKA G11 6* Ahsoka G11 GK G11 6* GMY G11
Poppa Nugget,947679913,66,14,52,46692,Padme G1 5* JKA G11 6* Ahsoka G8 GK G7 5* GMY G11
Bills Mafia,441664365,65,30,35,81203,Padme G10 JKA G12 Ahsoka G12 GK G9 GMY G12
Amaterasu,935596991,0,0,0,154413,Padme JKA Ahsoka GK GMY
Δ Vitiaté Δ,634879281,0,0,0,157066,Padme JKA Ahsoka GK GMY
MrTomChase24,674818227,72,37,35,97460,Padme G8 JKA G12 Ahsoka G11 GK G12 GMY G12
Mitsuki,844775351,43,13,30,102732,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
Jotar0Kujoh,973886778,38,12,26,104665,Padme G12 JKA R3 Ahsoka G12 GK G12 GMY G12
mar5hmn9,294825966,72,40,32,79257,Padme G12 JKA G11 5* Ahsoka G12 GK G11 6* GMY G12
