Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Pickle rick,266133985,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
WilsonJason,327282478,20,4,16,ROLO: ROLO G8 Chirrut G8 Han CLS Chewbacca
Jak Frey,692973843,20,4,16,CLS: CLS R2 Han G13 Chewbacca G12 Chewpio G12 C-3PO G12
Δ Vitiaté Δ,634879281,0,0,0,GAS Special: GAS Ahsoka
Δ Vitiaté Δ,634879281,0,0,0,JKL: JKL HYoda GMY Jolee GK
Δ Vitiaté Δ,634879281,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Δ Vitiaté Δ,634879281,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Δ Vitiaté Δ,634879281,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Δ Vitiaté Δ,634879281,4,0,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Orca,527193378,8,8,0,GAS Special: GAS Ahsoka
Orca,527193378,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Egghead,654442979,18,1,17,ROLO: ROLO G7 6* Chirrut G8 Han CLS Chewbacca
Xander,762457673,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Xander,762457673,19,11,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
Xander,762457673,15,2,13,JKL: JKL HYoda GMY G12 Jolee G12 GK G11
Aeceythar,842688545,0,0,0,GAS Special: GAS Ahsoka
Aeceythar,842688545,0,0,0,JKL: JKL HYoda GMY Jolee GK
Aeceythar,842688545,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Aeceythar,842688545,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Aeceythar,842688545,16,0,16,Finn: Finn G12 RT G12 RH Finn G12 RH Poe G12 JTR
Aeceythar,842688545,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
JadenRaven,329564557,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JadenRaven,329564557,8,0,8,ROLO: ROLO Cpt Solo Biggs G12 Baze G12 Lando
JadenRaven,329564557,20,6,14,JKL: JKL R2 HYoda GMY G12 JKR G12 Jolee G11
Citizen Juicer,562445426,12,4,8,ROLO: ROLO G12 Cpt Solo Han G12 CLS Chewbacca
MINI SgtGingerbeard,211844511,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
DumbNugget,755976984,20,8,12,CLS: CLS Han Chewbacca G12 Chewpio G12 C-3PO G12
Mitsuki,844775351,12,12,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Galeforce,284743495,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Poppa Nugget,947679913,19,1,18,CLS: CLS Han Chewbacca G11 6* Chewpio G8 4* C-3PO G11 6*
Darkside Dad,551997198,0,0,0,JKL: JKL HYoda GMY JKR Jolee
Darkside Dad,551997198,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Shayna Vetacious,391637392,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
MrTomChase24,674818227,17,1,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
Zephyr,297528578,18,1,17,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G11
theLeskiss,626646537,19,1,18,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G10
Amaterasu,935596991,0,0,0,GAS Special: GAS Ahsoka
Amaterasu,935596991,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Amaterasu,935596991,9,9,0,JKL: JKL HYoda GMY Jolee GK
Amaterasu,935596991,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Coop,972228286,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Coop,972228286,9,1,8,GAS Special: GAS G8 Ahsoka
Coop,972228286,10,0,10,JKL: JKL HYoda GMY G11 JKR R2 Jolee G12
PJMaster,377989166,9,9,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PJMaster,377989166,20,8,12,Shaak Ti: Shaak Ti G12 Rex Echo (501st) G12 ARC Trooper G12 Fives
Szerahk,958343253,20,16,4,ROLO: ROLO Cpt Solo Han G12 CLS Chewbacca
