Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jotar0Kujoh,973886778,18,3,15,Shaak Ti: Shaak Ti G12 Rex R2 Echo (501st) G11 ARC Trooper G11 Fives
DumbNugget,755976984,20,8,12,CLS: CLS Han Chewbacca G12 Chewpio G12 C-3PO G12
Pickle rick,266133985,20,0,20,CLS: CLS G12 Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
JadenRaven,329564557,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
JadenRaven,329564557,6,0,6,ROLO: ROLO Cpt Solo Leia R1 Baze G12 Lando
JadenRaven,329564557,20,7,13,JKL: JKL HYoda GMY G12 JKR G12 Jolee G11
MINI SgtGingerbeard,211844511,20,20,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Poppa Nugget,947679913,19,11,8,CLS: CLS Han Chewbacca Chewpio G10 5* C-3PO R1
mar5hmn9,294825966,20,4,16,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives
Δ Vitiaté Δ,634879281,0,0,0,GAS Special: GAS Ahsoka
Δ Vitiaté Δ,634879281,0,0,0,JKL: JKL HYoda GMY Jolee GK
Δ Vitiaté Δ,634879281,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Δ Vitiaté Δ,634879281,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Δ Vitiaté Δ,634879281,1,0,1,Finn: Finn RT RH Finn RH Poe Rey
Δ Vitiaté Δ,634879281,4,0,4,ROLO: ROLO Cpt Solo Biggs Baze G12 Lando
Jak Frey,692973843,20,7,13,CLS: CLS R2 Han G13 Chewbacca G13 Chewpio G13 C-3PO G13
MrTomChase24,674818227,17,1,16,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G12
theLeskiss,626646537,19,11,8,CLS: CLS Han Chewbacca Chewpio G12 C-3PO G12
Chantelle Vetacious,842688545,0,0,0,GAS Special: GAS Ahsoka
Chantelle Vetacious,842688545,0,0,0,JKL: JKL HYoda GMY Jolee GK
Chantelle Vetacious,842688545,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Chantelle Vetacious,842688545,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Chantelle Vetacious,842688545,16,0,16,Finn: Finn G12 RT G12 RH Finn G12 RH Poe G12 JTR
Chantelle Vetacious,842688545,4,0,4,ROLO: ROLO Cpt Solo Leia Baze G12 Lando
Smashburger,776444483,19,3,16,CLS: CLS Han Chewbacca G11 Chewpio G10 5* C-3PO G11
SleepyKiIIer666,456111931,17,0,17,CLS: CLS Han Chewbacca G12 Chewpio G10 C-3PO G9 5*
PJMaster,377989166,9,9,0,CLS: CLS Han Chewbacca Chewpio C-3PO
PJMaster,377989166,20,8,12,Shaak Ti: Shaak Ti G12 Rex Echo (501st) G12 ARC Trooper G12 Fives
WilsonJason,327282478,16,0,16,ROLO: ROLO G8 Chirrut G8 Han Chewpio Chewbacca
Darkside Dad,551997198,0,0,0,JKL: JKL HYoda GMY JKR Jolee
Darkside Dad,551997198,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Xander,762457673,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Xander,762457673,19,11,8,ROLO: ROLO Cpt Solo Leia Baze G8 6* Lando
Xander,762457673,15,2,13,JKL: JKL HYoda GMY G12 Jolee G12 GK G11
Orca,527193378,8,8,0,GAS Special: GAS Ahsoka
Orca,527193378,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Mitsuki,844775351,12,12,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Shayna Vetacious,391637392,20,2,18,CLS: CLS Han G12 Chewbacca G12 Chewpio G11 C-3PO G11
Shayna Vetacious,391637392,20,0,20,Shaak Ti: Shaak Ti G12 Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Zephyr,297528578,13,0,13,GAS Special: GAS G7 6* Ahsoka G12
Zephyr,297528578,18,2,16,Shaak Ti: Shaak Ti Rex G12 Echo (501st) G12 ARC Trooper G12 Fives G12
Galeforce,284743495,19,19,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Amaterasu,935596991,0,0,0,GAS Special: GAS Ahsoka
Amaterasu,935596991,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Amaterasu,935596991,9,9,0,JKL: JKL HYoda GMY Jolee GK
Amaterasu,935596991,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
BenSwoloOnDBOL,871833824,20,10,10,CLS: CLS Han Chewbacca G11 Chewpio G11 6* C-3PO
Szerahk,958343253,4,3,1,ROLO: ROLO Cpt Solo Han Chewbacca Lando
Szerahk,958343253,20,0,20,JKL: JKL G1 HYoda GMY R2 Jolee GK G12
Visigoth83,491397777,16,0,16,ROLO: ROLO G7 Chirrut G9 Han CLS Chewbacca
Citizen Juicer,562445426,8,8,0,JKL: JKL HYoda GMY Jolee GK
Citizen Juicer,562445426,4,0,4,ROLO: ROLO Cpt Solo Han G12 CLS Lando
Coop,972228286,0,0,0,ROLO: ROLO Cpt Solo Han Chewpio Lando
Coop,972228286,9,7,2,GAS Special: GAS R1 Ahsoka
Coop,972228286,10,0,10,JKL: JKL HYoda GMY G11 JKR R2 Jolee G12
Coop,972228286,16,0,16,Shaak Ti: Shaak Ti Rex G13 Echo (501st) G12 ARC Trooper G10 4* Fives G13
