Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nerve Gas,787571874,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Biuejed,478284627,27,12,15,Vader+Nute 12%: Vader R3 Nute G11 Thrawn Wat Tambor Traya G12
Eternal sitch,522652534,42,4,38,Vader+Nute 12%: Vader G12 Nute G11 Thrawn G8 Wat Tambor G13 Traya G8
Guihori,639674374,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Tamecula,577128238,41,27,14,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya
Seasu Gohay,241156488,10,6,4,Vader+Nute 12%: Vader Nute R3 Thrawn Wat Tambor R3 Traya
CóuntCrush18,277934547,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Krooked,115786486,25,11,14,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R3 Traya G12
Hadriel Jetberg,569819222,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
vilanox,413347812,25,6,19,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor R4 Traya G12
Wheels,527159147,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Jefe,843154652,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Johny favourite,569375498,27,7,20,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor R3 Traya G8
Elfaen,828769782,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Cao Hao,829115695,36,14,22,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor Traya G11
Gorgonzoloff,958541997,2,0,2,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor R4 Traya R4
Nomad,742228988,14,14,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Dakeyras,814491492,39,1,38,Vader+Nute 12%: Vader R4 Nute G4 Thrawn G12 Wat Tambor Traya G1
Dark Helmet,693159347,32,12,20,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G10
ELCapitan,765387381,26,5,21,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya R2
MattBerg757,864968452,9,9,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Tiberius,161338733,43,19,24,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor R2 Traya G9
DarthSmellyPants,244322114,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
jack4 and jack3,145589357,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Sotiri,156727472,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
TrippyWolverine,622373122,42,6,36,Vader+Nute 12%: Vader Nute G10 Thrawn G7 Wat Tambor Traya G1
0duin,968657684,29,9,20,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor R3 Traya G12
PapaBear,831926647,36,18,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
Nomagio,833418168,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Gambolt,912243447,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Shazam,757947698,50,15,35,Vader+Nute 12%: Vader Nute R1 Thrawn G8 Wat Tambor G8 Traya G7
Timarius,238999213,28,14,14,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor G12 Traya R4
SomethingForceSomething,595368594,31,4,27,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G12 Wat Tambor G9 6* Traya R2
Demetree,267345447,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Darthspartan,839624411,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Cedaric,977916599,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Adronium,532573462,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Mol Rammal,396298591,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Dannyslr,172647166,31,18,13,Vader+Nute 12%: Vader Nute R3 Thrawn R4 Wat Tambor Traya G8
Sky Forcewalker,789143173,36,8,28,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G1 Traya R2
Kya Skyff,664861787,43,6,37,Vader+Nute 12%: Vader R2 Nute G11 Thrawn G9 Wat Tambor G10 Traya G8
Icyshadowz26,767521765,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
DevvyDan,594423653,37,2,35,Vader+Nute 12%: Vader Nute G9 Thrawn G9 Wat Tambor G11 6* Traya G8
Gpa luis,544653239,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Oichtmüna,669558336,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
effewe,359844469,31,15,16,Vader+Nute 12%: Vader R3 Nute R4 Thrawn R2 Wat Tambor G12 Traya R1
Gauch,535656376,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
