Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
The coletrain,246941436,40,0,40,Supreme Leader Kylo Ren: KRU Kylo FOST G11 FOE G12 FOO G9 FOTP G11 Phasma Hux FOSFTP Sith Trooper G11 Vet Han G12 EP R5 Finalizer 0*
Pervis the Chisler,422163964,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Pervis the Chisler,422163964,56,43,13,Rey: JTR R2-D2 C-3PO BB-8 R6 RT G12 Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe G12 RH Finn
Vogel,486754244,58,0,58,Sith Eternal Emperor: EP Vader RG G10 Piett Krennic G8 Sidious G12 Darth Maul G11 Dooku Sith Marauder G12 Imperial TIE Bomber JKA G11 Thrawn Tarkin G12 Veers Starck G8
Geno,759237922,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Geno,759237922,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Geno,759237922,35,35,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
MINI Zachary,762444814,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
Jared Villarreal,176275385,43,21,22,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO G12 FOTP Phasma Hux FOSFTP G12 Sith Trooper Vet Han G12 EP G12 Finalizer 0*
Soundwave Superior,438187725,31,31,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 0*
Ukaiden Wyrs,444777315,57,34,23,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor R4 MagnaGuard Clone Sergeant R2 QGJ GMY R5 Jango R3 Shaak Ti R4 Cad R2 Cody R1
Ukaiden Wyrs,444777315,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
KingMaciu,484479315,59,11,48,Supreme Leader Kylo Ren: KRU Kylo FOST FOE G12 FOO G9 FOTP Phasma G7 Hux FOSFTP G12 Sith Trooper G12 Vet Han G12 EP G12 Finalizer 0*
Thunder,163682498,50,50,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Thunder,163682498,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
MadBoxxes,918321753,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 5*
DjangoFett,184168414,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer 6*
CorpseGrinderUSA,762819711,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
CorpseGrinderUSA,762819711,0,0,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
CorpseGrinderUSA,762819711,43,43,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
CorpseGrinderUSA,762819711,41,41,0,Jabba the Hutt: Krrsantan Han Gamorrean Guard Greedo Skiff Guard (Lando Calrissian) JKL Jawa URoRRuR'R'R C-3PO Boushh (Leia Organa) Aurra Fennec Shand Boba Mob Enforcer Outrider
vynle,423513725,9,0,9,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor G11 5* MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
vynle,423513725,59,1,58,Jedi Master Luke Skywalker: Old Ben G12 JTR G12 C-3PO R3 Mon Mothma G9 Chewpio G11 6* JKL R2-D2 R1 Han R2 Chewbacca Rebel Y-wing Leia G12 HYoda R3 Wedge G12 Biggs G11 Lando R4
Rivem,726615128,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
DarthBinks,453229764,59,49,10,Jedi Master Luke Skywalker: Old Ben G12 JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia G12 HYoda Wedge Biggs Lando
DarthBinks,453229764,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
DarthBinks,453229764,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
