Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
BigJill,487462523,86,0,86,2647,Shaak Ti G1 2* Fives G0 0* Rex G3 4* Echo (501st) G0 0* ARC Trooper G0 0*
Gorkken,883535461,66,1,65,31554,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
PeezieF83,127651797,56,0,56,49362,Shaak Ti G1 3* Fives G9 Rex G9 Echo (501st) G9 ARC Trooper G6 4*
Sharper,252122785,46,3,43,75614,Shaak Ti G11 Fives G9 Rex G11 Echo (501st) G8 ARC Trooper G8
SharpChaos,947247942,1,0,1,137824,Shaak Ti Fives Rex Echo (501st) ARC Trooper R4
Rogue55,555234473,62,0,62,32070,Shaak Ti G0 0* Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G7 6*
OldManDan,679213617,60,14,46,58918,Shaak Ti G8 Fives G11 Rex G11 Echo (501st) G8 ARC Trooper G6 6*
BUSTYOAZZ99,215377213,0,0,0,153076,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Alucard,389655178,63,5,58,36186,Shaak Ti G1 3* Fives G9 Rex G8 Echo (501st) G9 6* ARC Trooper G5 4*
DarthKrillin,143828918,64,10,54,59753,Shaak Ti G8 6* Fives G10 Rex G8 Echo (501st) G6 ARC Trooper G4
Jordan Halaren,474449928,39,0,39,77736,Shaak Ti G9 Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G8
凯 天行者,198397314,37,23,14,120186,Shaak Ti R3 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper G12
asguardian,771325987,65,0,65,27567,Shaak Ti G1 4* Fives G8 Rex G8 Echo (501st) G8 5* ARC Trooper G0 0*
Schmidt Happens,241187192,84,11,73,23508,Shaak Ti G0 0* Fives G9 Rex G7 Echo (501st) G1 3* ARC Trooper G0 0*
Dark One,353788573,39,15,24,110736,Shaak Ti R1 Fives G12 Rex R4 Echo (501st) G11 ARC Trooper G12
Sonny,719276917,31,0,31,96981,Shaak Ti G11 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Djsenior,463522689,58,0,58,50316,Shaak Ti G8 4* Fives G8 Rex G8 Echo (501st) G6 ARC Trooper G2 4*
RBS,572837322,54,10,44,75990,Shaak Ti G9 Fives G9 Rex G10 Echo (501st) G9 ARC Trooper G9
Mol Eliza,943784429,66,1,65,28144,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 6* ARC Trooper G0 0*
Brandino,688146787,49,17,32,83169,Shaak Ti G7 3* Fives R3 Rex G12 Echo (501st) G12 ARC Trooper G11
Latch,277395581,57,2,55,56781,Shaak Ti G3 3* Fives G8 Rex G12 Echo (501st) G7 ARC Trooper G5
Animus313,848892482,52,0,52,57214,Shaak Ti G1 2* Fives G10 Rex G11 Echo (501st) G8 ARC Trooper G8
Jbird,951768939,54,0,54,60390,Shaak Ti G11 Fives G10 Rex G6 Echo (501st) G6 ARC Trooper G3 5*
Nema Ghyron,226226244,78,0,78,30853,Shaak Ti G1 4* Fives G3 Rex G7 Echo (501st) G1 ARC Trooper G0 0*
Colts2ndF2P,955591162,82,0,82,9696,Shaak Ti G1 4* Fives G5 4* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Colts1stF2P,788625766,83,0,83,8603,Shaak Ti G1 2* Fives G4 4* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Extrememills,539555341,37,0,37,86687,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G0 0*
Gomer332,964343273,65,14,51,51379,Shaak Ti G7 6* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G8 4*
Special D,544362218,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Puke Clodhopper,138652831,49,9,40,85073,Shaak Ti Fives G11 Rex G12 Echo (501st) G9 ARC Trooper G0 0*
DarthQuasar,332532743,57,3,54,51708,Shaak Ti G8 6* Fives G11 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
Tyundi,697663926,36,8,28,107026,Shaak Ti G12 Fives G13 Rex G13 Echo (501st) G12 ARC Trooper G12
KyTheGuy,694385733,85,0,85,3163,Shaak Ti G0 0* Fives G4 4* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Whale,872143324,73,17,56,66958,Shaak Ti G13 Fives G9 Rex G9 Echo (501st) G2 ARC Trooper G1
SUMPTER THE HUT,786696155,65,0,65,31746,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G9 ARC Trooper G0 0*
DarthxVader,132372324,86,0,86,3004,Shaak Ti G0 0* Fives G3 4* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Mikki and her Ry Ry,846428398,65,0,65,37251,Shaak Ti G1 3* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Appo,299558514,61,18,43,65823,Shaak Ti G8 5* Fives G11 Rex G12 Echo (501st) G8 ARC Trooper G8 6*
Dart tds,167654687,66,0,66,29696,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
ChiefPheonix1,284131911,86,86,0,150292,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nick Steele,279647222,68,35,33,83168,Shaak Ti R1 Fives G11 Rex G11 Echo (501st) G11 ARC Trooper G10
Ronju Terds,464722161,56,11,45,72396,Shaak Ti Fives G9 Rex G10 Echo (501st) G8 ARC Trooper G0 0*
HDS15,857258731,50,6,44,68585,Shaak Ti G9 Fives G12 Rex G8 Echo (501st) G11 ARC Trooper G6 5*
ridingred,273374852,74,0,74,21052,Shaak Ti G5 5* Fives G5 Rex G5 Echo (501st) G1 5* ARC Trooper G0 0*
Chris Anderson 05051982,165559824,47,3,44,85130,Shaak Ti G12 Fives G9 Rex G9 Echo (501st) G8 ARC Trooper G8
Terdz 2,772418442,20,18,2,133137,Shaak Ti Fives R3 Rex Echo (501st) ARC Trooper
AnakinSky,124332729,90,36,54,49257,Shaak Ti G1 2* Fives G9 Rex G11 Echo (501st) G8 6* ARC Trooper G7
Pineapplepower,948881749,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Styckeey Battle,663976847,64,13,51,53836,Shaak Ti G6 6* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8 4*
SanitaryFruitloops,637321744,76,0,76,8167,Shaak Ti G1 3* Fives G8 4* Rex G4 4* Echo (501st) G1 3* ARC Trooper G0 0*
