Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
MINI Wolfee 2,483848246,0,0,0,148530,Padme JKA Ahsoka GK GMY
CC 2224,455353329,0,0,0,142750,Padme JKA Ahsoka GK GMY
Jet Maxwell III,297794728,9,3,6,142905,Padme JKA Ahsoka G12 GK GMY
Hotdog,223445887,39,0,39,70122,Padme G8 JKA Ahsoka G10 GK G7 GMY G8
Mortus,647791474,22,0,22,114362,Padme G8 JKA Ahsoka G12 GK G12 GMY
CaptainRecker,664645297,26,8,18,122214,Padme G8 JKA Ahsoka G10 GK GMY
CT 5555,814919958,12,12,0,142322,Padme JKA Ahsoka GK GMY
Rook to E1,886585651,6,6,0,146874,Padme JKA Ahsoka GK GMY
Giran Kenor Twitchin,441134558,12,12,0,151712,Padme JKA Ahsoka GK GMY
Xouma,974389471,31,0,31,103809,Padme G7 JKA Ahsoka G10 GK G12 GMY G12
Nova51,713489383,0,0,0,143508,Padme JKA Ahsoka GK GMY
CT 7567,349191421,12,12,0,142430,Padme JKA Ahsoka GK GMY
D Money,154714722,21,6,15,124568,Padme R2 JKA Ahsoka R2 GK R2 GMY G12
Swagfrog4,564259685,27,0,27,88510,Padme G10 JKA G10 5* Ahsoka R3 GK R2 GMY G12
McGʉffιη,474274391,8,0,8,140204,Padme R3 JKA Ahsoka G12 GK GMY
CC 5576,854419318,0,0,0,142540,Padme JKA Ahsoka GK GMY
BringMeTheWookie,678365692,1,0,1,153231,Padme JKA Ahsoka R4 GK GMY
T boy 3,259354979,3,2,1,149269,Padme JKA Ahsoka R4 GK GMY
ChrisCarter,399125674,12,0,12,126818,Padme R3 JKA Ahsoka R3 GK R3 GMY G12
Dakaf Fyrewalker,319311646,0,0,0,164905,Padme JKA Ahsoka GK GMY
Waaazzaaa,113987165,34,17,17,115054,Padme JKA Ahsoka GK GMY G1 5*
AndySkywalker,347134145,0,0,0,156888,Padme JKA Ahsoka GK GMY
Jacke Aiche,269852122,21,9,12,138500,Padme G12 JKA Ahsoka G12 GK GMY
KageSkywalker,616323741,0,0,0,153574,Padme JKA Ahsoka GK GMY
Greg,468297123,39,15,24,100494,Padme G8 JKA Ahsoka G12 GK R3 GMY G12
Chatty,623332958,6,4,2,130866,Padme JKA Ahsoka GK GMY R3
Officer Smooth Brain,488683323,0,0,0,156652,Padme JKA Ahsoka GK GMY
mystic kai,895242639,6,0,6,131756,Padme JKA Ahsoka G12 GK GMY
Mast3r,358438749,16,9,7,139368,Padme G12 JKA Ahsoka R4 GK GMY
Nall1986,557293475,0,0,0,154337,Padme JKA Ahsoka GK GMY
Vaexqua Grupen,388193425,60,12,48,57388,Padme G12 JKA G11 5* Ahsoka G10 GK G8 GMY G1
FedeRox,753788473,67,55,12,122788,Padme G12 JKA Ahsoka R3 GK R3 GMY R3
Wace Mindu,744987494,20,8,12,126055,Padme JKA Ahsoka G12 GK GMY G12
dedal,591162744,43,11,32,82195,Padme G0 0* JKA G11 Ahsoka G11 GK GMY
MINI DarthSmit,928261287,10,4,6,143674,Padme R1 JKA Ahsoka R3 GK GMY
ManõWar,718134452,1,0,1,135885,Padme JKA Ahsoka R4 GK GMY
XavierSpud's Demonslayer,136937923,7,4,3,147841,Padme R2 JKA Ahsoka GK GMY
DragonMaster007,138339774,15,13,2,137187,Padme JKA Ahsoka GK GMY R3
Force Wielding Caveman,121617387,1,1,0,154154,Padme JKA Ahsoka GK GMY
Giran Twitchin,214195595,24,18,6,123936,Padme JKA Ahsoka GK GMY G12
MrsCrow,644614815,57,3,54,55342,Padme G0 0* JKA G12 Ahsoka G11 GK G1 GMY G12
Ewilipsic,726888589,0,0,0,142004,Padme JKA Ahsoka GK GMY
LilBåby Том,465871768,18,0,18,122800,Padme G12 JKA R4 Ahsoka G13 GK GMY G12
Vaders Wrath,529633452,0,0,0,157085,Padme JKA Ahsoka GK GMY
MINI Flash Wayne,298613176,7,0,7,136130,Padme JKA Ahsoka GK GMY G11
