Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Chatty,623332958,6,4,2,130866,Padme JKA Ahsoka GK GMY R3
T boy 3,259354979,3,2,1,149269,Padme JKA Ahsoka R4 GK GMY
Ewilipsic,726888589,0,0,0,142004,Padme JKA Ahsoka GK GMY
Wace Mindu,744987494,20,8,12,126055,Padme JKA Ahsoka G12 GK GMY G12
mystic kai,895242639,6,0,6,134033,Padme JKA Ahsoka G12 GK GMY
Nall1986,557293475,0,0,0,154337,Padme JKA Ahsoka GK GMY
Dakaf Fyrewalker,319311646,0,0,0,164905,Padme JKA Ahsoka GK GMY
Giran Kenor Twitchin,441134558,12,12,0,151712,Padme JKA Ahsoka GK GMY
ManõWar,718134452,1,0,1,135885,Padme JKA Ahsoka R4 GK GMY
Nova51,713489383,0,0,0,143541,Padme JKA Ahsoka GK GMY
MINI DarthSmit,928261287,10,6,4,145951,Padme R3 JKA Ahsoka R3 GK GMY
AndySkywalker,347134145,0,0,0,156888,Padme JKA Ahsoka GK GMY
Officer Smooth Brain,488683323,0,0,0,156652,Padme JKA Ahsoka GK GMY
FedeRox,753788473,67,55,12,122998,Padme G12 JKA Ahsoka R3 GK R3 GMY R3
Beskar is Back,388193425,60,12,48,57388,Padme G12 JKA G11 5* Ahsoka G10 GK G8 GMY G1
DragonMaster007,138339774,15,13,2,137079,Padme JKA Ahsoka GK GMY R3
XavierSpud's Demonslayer,136937923,7,4,3,147764,Padme R2 JKA Ahsoka GK GMY
Jacke Aiche,269852122,21,9,12,138500,Padme G12 JKA Ahsoka G12 GK GMY
Force Wielding Caveman,121617387,1,1,0,154154,Padme JKA Ahsoka GK GMY
MrsCrow,644614815,57,3,54,55342,Padme G0 0* JKA G12 Ahsoka G11 GK G1 GMY G12
Xouma,974389471,31,0,31,103809,Padme G7 JKA Ahsoka G10 GK G12 GMY G12
CaptainRecker,664645297,26,10,16,124707,Padme G8 JKA Ahsoka G12 GK GMY
CT 7567,349191421,12,12,0,142296,Padme JKA Ahsoka GK GMY
D Money,154714722,21,6,15,124568,Padme R2 JKA Ahsoka R2 GK R2 GMY G12
Greg,468297123,39,15,24,100494,Padme G8 JKA Ahsoka G12 GK R3 GMY G12
Giran Twitchin,214195595,24,18,6,123936,Padme JKA Ahsoka GK GMY G12
CC 5576,854419318,0,0,0,142753,Padme JKA Ahsoka GK GMY
Vaders Wrath,529633452,0,0,0,157085,Padme JKA Ahsoka GK GMY
MINI Flash Wayne,298613176,7,1,6,137318,Padme JKA Ahsoka GK GMY G12
CC 2224,455353329,0,0,0,142641,Padme JKA Ahsoka GK GMY
ChrisCarter,399125674,12,0,12,126818,Padme R3 JKA Ahsoka R3 GK R3 GMY G12
CT 5555,814919958,12,12,0,142359,Padme JKA Ahsoka GK GMY
Hotdog,223445887,39,2,37,78674,Padme G9 JKA Ahsoka G10 GK G8 GMY G8
Dereckgotstrong,586586992,6,0,6,138458,Padme JKA Ahsoka G12 GK GMY
Jet Maxwell III,297794728,9,3,6,142950,Padme JKA Ahsoka G12 GK GMY
MINI Wolfee 2,483848246,0,0,0,148530,Padme JKA Ahsoka GK GMY
McGʉffιη,474274391,8,0,8,140204,Padme R3 JKA Ahsoka G12 GK GMY
J48W,444427259,0,0,0,143204,Padme JKA Ahsoka GK GMY
BringMeTheWookie,678365692,1,0,1,153070,Padme JKA Ahsoka R4 GK GMY
Levka Fae,613883238,0,0,0,151473,Padme JKA Ahsoka GK GMY
Mast3r,358438749,16,9,7,139503,Padme G12 JKA Ahsoka R4 GK GMY
Swagfrog4,564259685,27,4,23,94452,Padme G12 JKA G11 5* Ahsoka R3 GK R3 GMY G12
Willy,548893168,16,0,16,130823,Padme G12 JKA G12 Ahsoka R1 GK GMY
KageSkywalker,616323741,0,0,0,153574,Padme JKA Ahsoka GK GMY
Ocin,816683245,15,0,15,119645,Padme JKA R3 Ahsoka R2 GK R2 GMY G11
LilBåby Том,465871768,18,0,18,122817,Padme G12 JKA R4 Ahsoka G13 GK GMY G12
Mortus,647791474,22,0,22,114362,Padme G8 JKA Ahsoka G12 GK G12 GMY
