Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
BringMeTheWookie,678365692,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Wace Mindu,744987494,22,8,14,Vader P1 10%: Vader KRU R3 Wat Tambor G12 C-3PO Shaak Ti G12
T boy 3,259354979,24,15,9,Vader+Nute 12%: Vader Nute Thrawn R1 Wat Tambor Traya G13
Officer Smooth Brain,488683323,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
DragonMaster007,138339774,39,22,17,Vader+Nute 12%: Vader Nute Thrawn G12 Wat Tambor G9 6* Traya R3
ChrisCarter,399125674,22,7,15,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 6* Traya R4
CT 7567,349191421,41,24,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
Jacke Aiche,269852122,29,8,21,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G11 6* Traya G12
D Money,154714722,27,6,21,Vader+Nute 12%: Vader Nute G12 Thrawn R2 Wat Tambor G12 Traya G12
CaptainRecker,664645297,9,2,7,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G11 6* Malak
XavierSpud's Demonslayer,136937923,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
FedeRox,753788473,17,0,17,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G1 6* Piett
MINI DarthSmit,928261287,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Vaexqua Grupen,388193425,37,0,37,Vader+Nute 12%: Vader Nute G11 Thrawn G7 Wat Tambor G6 Traya G11
Dakaf Fyrewalker,319311646,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
MINI Wolfee 2,483848246,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Jet Maxwell III,297794728,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
CC 5576,854419318,34,18,16,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya
Chatty,623332958,34,5,29,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G9 Traya G12
KageSkywalker,616323741,33,17,16,Vader+Nute 12%: Vader Nute R1 Thrawn G12 Wat Tambor Traya G12
AndySkywalker,347134145,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Mortus,647791474,17,0,17,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G1 5* Piett
mystic kai,895242639,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Mast3r,358438749,36,4,32,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G11 6* Traya G1
MINI Flash Wayne,298613176,26,2,24,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G9 Traya G12
Vaders Wrath,529633452,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nall1986,557293475,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Ewilipsic,726888589,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Xouma,974389471,36,0,36,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G9 6* Traya G1
CT 5555,814919958,41,24,17,Vader+Nute 12%: Vader Nute G7 Thrawn Wat Tambor G12 Traya
McGʉffιη,474274391,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Giran Kenor Twitchin,441134558,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Force Wielding Caveman,121617387,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Nova51,713489383,18,18,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
CC 2224,455353329,34,18,16,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya
ManõWar,718134452,23,7,16,Vader P1 10%: Vader KRU Wat Tambor G11 C-3PO Shaak Ti G9
Greg,468297123,41,8,33,Vader+Nute 12%: Vader Nute G6 Thrawn G12 Wat Tambor G9 6* Traya G12
