Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Wanja,749482363,5,3,2,146063,Padme JKA R4 Ahsoka R4 GK GMY
Sarith LeKit,239322449,2,2,0,155352,Padme JKA Ahsoka GK GMY
Ross,584911256,2,1,1,153837,Padme JKA Ahsoka R4 GK GMY
AlTor,447124628,0,0,0,158106,Padme JKA Ahsoka GK GMY
Urke,655432856,2,1,1,149600,Padme JKA R4 Ahsoka GK GMY
Gøłubøwski,823226235,6,6,0,153650,Padme JKA Ahsoka GK GMY
spyalter,523373391,0,0,0,155120,Padme JKA Ahsoka GK GMY
dok,667433177,0,0,0,157166,Padme JKA Ahsoka GK GMY
JonSnow,414914173,0,0,0,154675,Padme JKA Ahsoka GK GMY
Jekka,863475437,0,0,0,151887,Padme JKA Ahsoka GK GMY
Deexon,856353991,9,7,2,148523,Padme JKA Ahsoka R3 GK GMY
DANE,468833827,0,0,0,157847,Padme JKA Ahsoka GK GMY
MariusMD,374353155,0,0,0,157480,Padme JKA Ahsoka GK GMY
Arquangle Maqulas,297159885,2,1,1,147581,Padme R4 JKA Ahsoka GK GMY
Gojko22,463392637,7,5,2,155253,Padme JKA Ahsoka R3 GK GMY
Аскурђел,187558712,0,0,0,146134,Padme JKA Ahsoka GK GMY
dart vejder,281271544,0,0,0,156995,Padme JKA Ahsoka GK GMY
Duda,331626844,0,0,0,155007,Padme JKA Ahsoka GK GMY
Bobans,677114348,3,2,1,147653,Padme JKA Ahsoka GK GMY R4
Djape15mp,339442767,0,0,0,151544,Padme JKA Ahsoka GK GMY
gaara,967744726,8,5,3,145724,Padme R4 JKA Ahsoka R3 GK GMY
Igor,819674926,6,4,2,152297,Padme JKA Ahsoka R3 GK GMY
Saša,362183758,0,0,0,157382,Padme JKA Ahsoka GK GMY
Mace Mardu,483324726,0,0,0,154254,Padme JKA Ahsoka GK GMY
Kolibri,985766812,0,0,0,158282,Padme JKA Ahsoka GK GMY
Wuchur,785833396,0,0,0,149151,Padme JKA Ahsoka GK GMY
Vladan,473191379,0,0,0,154497,Padme JKA Ahsoka GK GMY
wastedyugoyouth,833546296,0,0,0,155224,Padme JKA Ahsoka GK GMY
Mileta,494653912,2,2,0,152296,Padme JKA Ahsoka GK GMY
Crni Djordje,422439755,0,0,0,152383,Padme JKA Ahsoka GK GMY
MINIdanilo,411311174,0,0,0,161208,Padme JKA Ahsoka GK GMY
Stardust,572855881,2,2,0,156418,Padme JKA Ahsoka GK GMY
DarthRevan0903,231265213,0,0,0,157282,Padme JKA Ahsoka GK GMY
JayChan,792142811,2,2,0,145499,Padme JKA Ahsoka GK GMY
Ruske,382994679,0,0,0,152549,Padme JKA Ahsoka GK GMY
Gelbatron,751645243,7,4,3,151767,Padme JKA Ahsoka R2 GK GMY
Baća,285549468,2,2,0,154987,Padme JKA Ahsoka GK GMY
Petric,454569125,0,0,0,164096,Padme JKA Ahsoka GK GMY
0wuchur0,223294884,19,11,8,131256,Padme JKA Ahsoka GK R1 GMY R1
spyhunter,398167935,12,0,12,136267,Padme G12 JKA Ahsoka G12 GK GMY
Teron,398271139,16,10,6,144435,Padme JKA Ahsoka G12 GK GMY
Noble Ruler,271168839,11,0,11,123140,Padme R3 JKA R3 Ahsoka R4 GK GMY G12
sandels,313982715,0,0,0,143106,Padme JKA Ahsoka GK GMY
lukasarts2011,377249233,4,4,0,154629,Padme JKA Ahsoka GK GMY
EricTheodoreCartman,368492345,0,0,0,148388,Padme JKA Ahsoka GK GMY
Zipmiler,819529176,6,0,6,141476,Padme G12 JKA Ahsoka GK GMY
nebojsa,557652299,1,0,1,156679,Padme JKA Ahsoka R4 GK GMY
Yakface,126215124,10,2,8,137180,Padme G12 JKA R3 Ahsoka GK GMY
Mini LilaBear,664217682,0,0,0,148258,Padme JKA Ahsoka GK GMY
Mr51ngh007,686514237,0,0,0,149266,Padme JKA Ahsoka GK GMY
