Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Ardilla,552198166,0,0,0,155046,Padme JKA Ahsoka GK GMY
ReturnOfTheFett,889718432,0,0,0,154706,Padme JKA Ahsoka GK GMY
modestdinosaur,154874635,6,2,4,138577,Padme JKA Ahsoka GK GMY R1
Mateus Jak,382687224,6,6,0,154639,Padme JKA Ahsoka GK GMY
dompizan,865799155,19,7,12,142138,Padme JKA G12 Ahsoka G12 GK GMY
Hyrnia Strain,787129764,20,12,8,144540,Padme JKA G12 Ahsoka R3 GK GMY
Griz Man,864121897,0,0,0,144534,Padme JKA Ahsoka GK GMY
Gok,375636296,0,0,0,149890,Padme JKA Ahsoka GK GMY
Nymeria II,759541265,30,30,0,148559,Padme JKA Ahsoka GK GMY
Nymeria,216667356,0,0,0,157447,Padme JKA Ahsoka GK GMY
ZilloTea,461383831,9,9,0,148022,Padme JKA Ahsoka GK GMY
mudhead3323,987664871,17,10,7,132624,Padme R4 JKA Ahsoka R4 GK R4 GMY R1
Donkey Kong Jr,936252887,3,2,1,147299,Padme JKA Ahsoka R4 GK GMY
RiverCityJedi,717626934,11,9,2,150958,Padme R3 JKA Ahsoka GK GMY
Pyromancer,177264773,13,7,6,142610,Padme G12 JKA Ahsoka GK GMY
ScoobyDooku,866981378,1,1,0,154580,Padme JKA Ahsoka GK GMY
Blazebot7000,798364712,13,3,10,137716,Padme R2 JKA R3 Ahsoka G13 GK GMY
Haaly,537651678,20,19,1,153060,Padme R4 JKA Ahsoka GK GMY
Wes Harcrow,863582961,13,10,3,135672,Padme R3 JKA Ahsoka R4 GK GMY
C3MO,777719932,0,0,0,150984,Padme JKA Ahsoka GK GMY
Business Time,646681643,5,0,5,130697,Padme R4 JKA R4 Ahsoka R4 GK R4 GMY R4
Ryiun,684362843,1,1,0,152928,Padme JKA Ahsoka GK GMY
ishotfirst,463678449,7,7,0,152976,Padme JKA Ahsoka GK GMY
Tyler,388657195,10,6,4,152135,Padme JKA Ahsoka R1 GK GMY
Dr med den Rasen,374798737,0,0,0,146992,Padme JKA Ahsoka GK GMY
DeathComestoAll,536945656,12,0,12,122938,Padme G12 JKA Ahsoka G12 GK GMY
Lakotnik,255771377,1,0,1,145266,Padme R4 JKA Ahsoka GK GMY
Kynareth,733296396,0,0,0,154691,Padme JKA Ahsoka GK GMY
Hanshotfirst,979824842,5,0,5,126999,Padme R4 JKA R4 Ahsoka R4 GK R4 GMY R4
E2d2,963426871,0,0,0,154981,Padme JKA Ahsoka GK GMY
Saber Skills,436127364,3,3,0,146275,Padme JKA Ahsoka GK GMY
Revanoch,926517113,1,1,0,154732,Padme JKA Ahsoka GK GMY
Starkiller3333,699566478,0,0,0,155227,Padme JKA Ahsoka GK GMY
Crazy Skew,592863547,12,11,1,136632,Padme JKA Ahsoka GK GMY R4
DarthCarmeedo,289538528,0,0,0,146071,Padme JKA Ahsoka GK GMY
DanMan1975,616179276,0,0,0,151359,Padme JKA Ahsoka GK GMY
mugsy,796869384,6,6,0,145776,Padme JKA Ahsoka GK GMY
Ewokslayer,244318639,8,1,7,134529,Padme JKA G11 Ahsoka GK GMY
Mythical,493153462,4,0,4,137027,Padme R3 JKA Ahsoka R3 GK GMY
NimueN,728665521,12,0,12,129118,Padme G12 JKA Ahsoka G12 GK GMY
DarthDoon,172176632,0,0,0,149397,Padme JKA Ahsoka GK GMY
Darדh Freeday,623218693,0,0,0,156688,Padme JKA Ahsoka GK GMY
CaptBlinky,152777395,0,0,0,157250,Padme JKA Ahsoka GK GMY
Simph,197687411,8,0,8,122709,Padme JKA Ahsoka GK GMY G10
FRM,556111983,0,0,0,149661,Padme JKA Ahsoka GK GMY
Deathby1000,496365713,0,0,0,150211,Padme JKA Ahsoka GK GMY
SmallMexiFrys,686529498,9,2,7,136985,Padme JKA Ahsoka G12 GK R4 GMY
raza,344861713,26,0,26,100612,Padme G9 JKA Ahsoka G10 GK R3 GMY G11
Vodzkha,948833898,6,3,3,144693,Padme R3 JKA R4 Ahsoka GK GMY
Dos Tortugas,742786634,0,0,0,151046,Padme JKA Ahsoka GK GMY
