Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Hyrnia Strain,787129764,5,5,0,146973,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DanMan1975,616179276,24,24,0,149157,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ishotfirst,463678449,0,0,0,153085,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Saber Skills,436127364,0,0,0,150250,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Lakotnik,255771377,18,1,17,119875,Shaak Ti Fives Rex Echo (501st) ARC Trooper G1 4*
ReturnOfTheFett,889718432,21,17,4,140356,Shaak Ti Fives R3 Rex R3 Echo (501st) ARC Trooper
Wes Harcrow,863582961,37,23,14,119989,Shaak Ti R3 Fives R2 Rex R2 Echo (501st) R2 ARC Trooper R2
mugsy,796869384,0,0,0,152201,Shaak Ti Fives Rex Echo (501st) ARC Trooper
raza,344861713,0,0,0,130904,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FRM,556111983,0,0,0,142869,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Business Time,646681643,5,5,0,134359,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Brill Cadeus,188364579,7,7,0,135023,Shaak Ti Fives Rex Echo (501st) ARC Trooper
C3MO,777719932,26,0,26,111541,Shaak Ti Fives G12 Rex G12 Echo (501st) G11 ARC Trooper G11
Nymeria,216667356,0,0,0,145207,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SmallMexiFrys,686529498,2,0,2,142712,Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Crazy Skew,592863547,56,56,0,143929,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ZilloTea,461383831,0,0,0,140281,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tyler,388657195,12,0,12,135029,Shaak Ti Fives G12 Rex G12 Echo (501st) ARC Trooper
Blazebot7000,798364712,21,14,7,130737,Shaak Ti Fives R4 Rex R3 Echo (501st) R3 ARC Trooper R3
Hanshotfirst,979824842,0,0,0,150524,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ardilla,552198166,0,0,0,150685,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Donkey Kong Jr,936252887,13,0,13,121711,Shaak Ti R4 Fives Rex R2 Echo (501st) R1 ARC Trooper G13
Dr med den Rasen,374798737,0,0,0,140339,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ryiun,684362843,0,0,0,141629,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kynareth,733296396,0,0,0,154901,Shaak Ti Fives Rex Echo (501st) ARC Trooper
dompizan,865799155,3,3,0,148101,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DarthCarmeedo,289538528,0,0,0,137991,Shaak Ti Fives Rex Echo (501st) ARC Trooper
modestdinosaur,154874635,0,0,0,140566,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CaptBlinky,152777395,0,0,0,151490,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ar2,378655486,8,5,3,136307,Shaak Ti Fives Rex Echo (501st) ARC Trooper R2
Darדh Freeday,623218693,0,0,0,156060,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Haaly,537651678,8,8,0,152286,Shaak Ti Fives Rex Echo (501st) ARC Trooper
SinbadFoo,458275439,0,0,0,152731,Shaak Ti Fives Rex Echo (501st) ARC Trooper
RiverCityJedi,717626934,0,0,0,141927,Shaak Ti Fives Rex Echo (501st) ARC Trooper
E2d2,963426871,0,0,0,152401,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Revanoch,926517113,5,5,0,151428,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ScoobyDooku,866981378,0,0,0,150969,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ewokslayer,244318639,30,30,0,132497,Shaak Ti Fives Rex Echo (501st) ARC Trooper
DeathComestoAll,536945656,0,0,0,137427,Shaak Ti Fives Rex Echo (501st) ARC Trooper
mudhead3323,987664871,44,27,17,118341,Shaak Ti R4 Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Griz Man,864121897,0,0,0,144095,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Mateus Jak,382687224,0,0,0,151984,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nymeria II,759541265,86,86,0,145200,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pyromancer,177264773,16,10,6,130687,Shaak Ti Fives Rex Echo (501st) ARC Trooper G12
Mythical,493153462,4,2,2,133695,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
Vodzkha,948833898,24,15,9,129269,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R2
NimueN,728665521,2,2,0,134646,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Grimm Keiffer,974244112,0,0,0,150891,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gok,375636296,0,0,0,136265,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Starkiller3333,699566478,6,0,6,140400,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
