Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Dakks,243383283,32,0,32,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G10 Traya G8
QuiGonJim,396942887,16,4,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Stubaru Prime,738526411,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
StoneDarrow,671468239,44,0,44,Vader+Nute 12%: Vader G11 Nute G11 Thrawn G8 Wat Tambor G11 6* Traya G5
IIISunDownIII,323563219,42,3,39,Vader+Nute 12%: Vader R2 Nute G10 Thrawn G8 Wat Tambor G10 Traya G8
Beluminium,337351818,13,1,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Hoss,641294119,31,8,23,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G9 Traya
Cam Jetsu,279764511,39,15,24,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 6* Traya G8
D'arthSyyth,561363768,35,9,26,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G12 Traya G12
KoolBeans,454321516,33,6,27,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G11 6* Traya G8
yaminashi,496575753,28,0,28,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G10 Traya G12
Doomspikinator,692437781,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Malottobuck,951289295,21,5,16,Vader+Nute 12%: Vader Nute G9 Thrawn Wat Tambor G11 6* Traya
BOOGIEBEAR,944133643,19,5,14,Vader P1 10%: Vader KRU G12 Wat Tambor G10 C-3PO Shaak Ti
Crossbow13,397167862,36,7,29,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G8 Traya G12
Madskillz007,167116754,26,6,20,Vader+Nute 12%: Vader R4 Nute G12 Thrawn G12 Wat Tambor G12 Traya R4
Legend Brands,712311723,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Andrew2440,293826154,35,7,28,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G8 Traya G8
AtillaDX,476411885,43,28,15,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor Traya G13
HK71,458914434,44,10,34,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G7 Traya G10
The Dark,742388533,38,0,38,Vader+Nute 12%: Vader Nute G10 Thrawn G8 Wat Tambor G8 5* Traya G8
Falen Lacer,412149896,24,4,20,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G7 6* Traya R2
Rynoman2597,827547649,32,14,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Mikill,398941496,30,11,19,Vader+Nute 12%: Vader Nute G9 Thrawn R4 Wat Tambor R2 Traya G12
Ju Ansalli Madlyn,618553972,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
wilbr,594392214,34,7,27,Vader+Nute 12%: Vader Nute G10 Thrawn R2 Wat Tambor G9 Traya G11
Waiter,619831899,27,6,21,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor G11 Traya G11
DarthNox,672273972,22,0,22,Vader+Nute 12%: Vader Nute G8 Thrawn R3 Wat Tambor R2 Traya G11
tacomansir,585681935,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
BigTexN,221852267,23,8,15,Vader+Nute 12%: Vader Nute R3 Thrawn R3 Wat Tambor G9 Traya R3
Dang,985846889,27,7,20,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G12 Traya G12
Natsirk,731428669,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 5* Traya
BigWalkingCarpet,674293548,31,13,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Mol Eliza,628148255,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Mol Eliza,624843493,25,5,20,Vader+Nute 12%: Vader Nute R1 Thrawn R1 Wat Tambor G12 Traya G12
Lasman starguard,714143532,21,9,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor R3 Traya R1
Biggles,786886424,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
MooCowOla,196325448,33,0,33,Vader+Nute 12%: Vader R4 Nute G8 Thrawn G12 Wat Tambor G8 4* Traya G12
Loreck Avery,945628811,35,10,25,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G9 Traya G8
JM5555,457786942,30,16,14,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya
DarthCephalus,164743168,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Gul Ski,723993198,29,11,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
JD,773718842,34,19,15,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G13 Traya R1
Ahsokanubhis,134384739,38,0,38,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G6 4* Traya G8
DARTHINVADE HERCERVIX,478465791,35,4,31,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G12 Wat Tambor G11 6* Traya G8
Kregan Gadhar,466854212,41,0,41,Vader+Nute 12%: Vader Nute G1 Thrawn R1 Wat Tambor G6 5* Traya G10
