Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Antonio,986527771,26,6,20,Vader+Nute 12%: Vader Nute G13 Thrawn G13 Wat Tambor G11 Traya R2
Waiter,619831899,27,6,21,Vader+Nute 12%: Vader Nute G12 Thrawn R4 Wat Tambor G11 Traya G11
BigWalkingCarpet,674293548,31,11,20,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G12 Traya G12
wilbr,594392214,34,7,27,Vader+Nute 12%: Vader Nute G10 Thrawn R2 Wat Tambor G9 Traya G11
Lasman starguard,714143532,21,3,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G10 Traya R1
tacomansir,585681935,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Hoss,641294119,31,8,23,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G9 Traya
Mol Eliza,624843493,25,5,20,Vader+Nute 12%: Vader Nute R1 Thrawn R1 Wat Tambor G12 Traya G12
Mol Eliza,628148255,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Madskillz007,167116754,26,6,20,Vader+Nute 12%: Vader R4 Nute G12 Thrawn G12 Wat Tambor G12 Traya R4
Mikill,398941496,30,11,19,Vader+Nute 12%: Vader Nute G9 Thrawn R4 Wat Tambor R2 Traya G12
Malottobuck,951289295,21,4,17,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G11 6* Traya
IIISunDownIII,323563219,42,3,39,Vader+Nute 12%: Vader R2 Nute G10 Thrawn G8 Wat Tambor G10 Traya G8
D'arthSyyth,561363768,35,8,27,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G11 6* Traya G12
Dang,985846889,27,7,20,Vader+Nute 12%: Vader Nute G12 Thrawn R3 Wat Tambor G12 Traya G12
Demogorgon,139721217,30,1,29,Vader+Nute 12%: Vader Nute G9 Thrawn G12 Wat Tambor G11 Traya G11
Stubaru Prime,738526411,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor Traya G12
SkinnyKrogan,552414927,25,10,15,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya R4
DarthCephalus,164743168,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Ahsokanubhis,134384739,38,0,38,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G6 4* Traya G8
Loreck Avery,945628811,35,9,26,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G8 Traya G8
Gul Ski,723993198,29,10,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Anraeth Erith,562712763,25,8,17,Vader+Nute 12%: Vader R3 Nute G10 Thrawn R2 Wat Tambor R3 Traya R3
QuiGonJim,396942887,16,4,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Crossbow13,397167862,36,6,30,Vader+Nute 12%: Vader Nute G12 Thrawn G11 Wat Tambor G8 Traya G11
Ju Ansalli Madlyn,618553972,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
The Dark,742388533,38,0,38,Vader+Nute 12%: Vader Nute G10 Thrawn G8 Wat Tambor G8 5* Traya G8
Rynoman2597,827547649,32,14,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Natsirk,731428669,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 5* Traya
yaminashi,496575753,28,0,28,Vader+Nute 12%: Vader R3 Nute G12 Thrawn G12 Wat Tambor G10 Traya G12
KoolBeans,454321516,33,5,28,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G10 5* Traya G8
Biggles,786886424,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Doomspikinator,692437781,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
JD,773718842,34,14,20,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya R1
Cam Jetsu,279764511,39,13,26,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G8 6* Traya G8
MooCowOla,196325448,33,0,33,Vader+Nute 12%: Vader R4 Nute G8 Thrawn G12 Wat Tambor G8 4* Traya G12
Beluminium,337351818,13,1,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
Falen Lacer,412149896,24,2,22,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G6 6* Traya R1
StoneDarrow,671468239,44,0,44,Vader+Nute 12%: Vader G11 Nute G11 Thrawn G8 Wat Tambor G11 6* Traya G5
Mediated,284273572,51,10,41,Vader+Nute 12%: Vader G8 Nute G8 Thrawn G8 5* Wat Tambor Traya G7
DARTHINVADE HERCERVIX,478465791,35,3,32,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G12 Wat Tambor G10 6* Traya G8
Andrew2440,293826154,35,7,28,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G8 Traya G8
BigTexN,221852267,23,6,17,Vader+Nute 12%: Vader Nute R3 Thrawn R3 Wat Tambor G9 6* Traya R1
HK71,458914434,44,9,35,Vader+Nute 12%: Vader Nute G9 Thrawn G11 Wat Tambor G7 Traya G10
AtillaDX,476411885,43,28,15,Vader+Nute 12%: Vader Nute G12 Thrawn R1 Wat Tambor Traya G13
JM5555,457786942,30,16,14,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 6* Traya
