Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
J3d1 Wampa,233129389,32,10,22,Vader P1 10%: Vader KRU Wat Tambor G7 C-3PO BB-8 G7
ISB Coøkie,917286274,35,6,29,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G7 Traya G7
Jamesss,932183454,43,1,42,Vader+Nute 12%: Vader G7 Nute G12 Thrawn G6 Wat Tambor G11 5* Traya G12
Da Beetle,772984483,42,3,39,Vader+Nute 12%: Vader Nute G8 Thrawn G10 Wat Tambor G5 Traya G10
Zenithier,443596224,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Wacky Wookiee,153559257,37,2,35,Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G9 5* Traya G9 6*
Redaxfive,669472598,38,3,35,Vader+Nute 12%: Vader Nute G10 Thrawn G8 Wat Tambor G10 6* Traya G9
DarthBrosaur,291658232,38,6,32,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G12 Wat Tambor G9 Traya G9
FriedRedMonkey,114279529,33,9,24,Vader P1 10%: Vader KRU G8 Wat Tambor G10 C-3PO Shaak Ti G12
NameDoesntMatter,766675264,27,1,26,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G9 5* Traya G8 6*
lnquisitor Maze,993878581,37,4,33,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G12 Traya G7
Mol Eliza,472824428,45,15,30,Vader+Nute 12%: Vader Nute G11 Thrawn G10 Wat Tambor G9 Traya G12
LordSliepy81,826277931,41,16,25,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G10 Traya G8
Sidrial,348549185,20,1,19,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G12
Shart69,662285822,30,0,30,Vader P1 10%: Vader KRU R3 Wat Tambor G2 5* C-3PO G12 Shaak Ti G12
Veskasa Stargazer,548318682,31,0,31,Vader P1 10%: Vader KRU G9 Wat Tambor G5 C-3PO BB-8 G9
Soojalembene,878522874,5,0,5,Vader+Wat 8%: Vader EP Thrawn Wat Tambor G13 Malak
Marren,269783355,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
SniperLord,736453491,24,3,21,Vader P1 10%: Vader KRU G7 Wat Tambor G12 C-3PO R1 Shaak Ti
MrEMustard,916322553,42,5,37,Vader+Nute 12%: Vader Nute G7 Thrawn G11 Wat Tambor G5 6* Traya G12
RogueJedi,256227448,26,1,25,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya G11
Kanon reloaded,236126683,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
IKEA,382247489,36,5,31,Vader+Nute 12%: Vader Nute G11 Thrawn G11 Wat Tambor G9 6* Traya G10
Rice Powered,218278765,40,0,40,Vader+Nute 12%: Vader Nute G2 Thrawn G12 Wat Tambor G8 Traya G10
Cha22y,761457315,31,12,19,Vader P1 10%: Vader G12 KRU Wat Tambor G11 C-3PO G12 Shaak Ti
Dark Baszko,935436975,39,3,36,Vader+Nute 12%: Vader Nute G9 Thrawn G11 Wat Tambor G9 5* Traya G7
Ronin Khael,633311685,50,3,47,Vader+Nute 12%: Vader Nute G4 Thrawn G12 Wat Tambor G5 Traya G4
Geovo,896122332,38,38,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
MINI Jaboe,912978741,38,22,16,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor Traya R3
Sutra,785354117,24,0,24,Vader+Wat 8%: Vader EP G12 Thrawn G9 Wat Tambor G9 4* Piett
tanjo,558583215,37,0,37,Vader+Nute 12%: Vader G12 Nute G8 Thrawn G12 Wat Tambor G10 4* Traya G11
Dan,359935949,34,4,30,Vader+Nute 12%: Vader Nute G10 Thrawn G12 Wat Tambor G8 Traya G12
Caseyyy,644777646,26,5,21,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G9 5* Traya G12
Thawk,895377488,41,12,29,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G8 Traya G9
Algech Algolgomel,359156156,38,9,29,Vader+Nute 12%: Vader Nute G11 Thrawn G10 Wat Tambor G10 6* Traya G12
