Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Marren,269783355,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Marren,269783355,14,14,0,Padme 3%: Padme JKA GK Ahsoka GMY
Marren,269783355,0,0,0,JKL + JML (6%): JKL JMLS JKR GAS Jolee
Marren,269783355,3,3,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Dark Baszko,935436975,0,0,0,Padme 3%: Padme JKA GK Ahsoka GMY
Dan,359935949,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
lnquisitor Maze,993878581,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
lnquisitor Maze,993878581,0,0,0,Imperial Troopers 5%: Veers Piett Starck Range Trooper Dark Trooper
Cha22y,761457315,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Cha22y,761457315,40,40,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
FriedRedMonkey,114279529,9,9,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
BlackKobra77,495911322,6,6,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
ISB Coøkie,917286274,0,0,0,SEE P1 5%: SEE Malak Sith Trooper Sith Marauder Vader
Melion77,934943462,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
J3d1 Wampa,233129389,8,8,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
J3d1 Wampa,233129389,15,15,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
Good E2 Shoes,285356599,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
MINI ASplendidJedi,455414534,12,12,0,GG (2%): GG B1 Droideka B2 MagnaGuard
MINI ASplendidJedi,455414534,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Ronin Khael,633311685,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
JediLukeSkywalker,548318682,32,32,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Rice Powered,218278765,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Harry TBE,212311983,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
DarthBrosaur,291658232,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Dark side rules,556374624,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Jamesss,932183454,6,6,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zenithier,443596224,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Zenithier,443596224,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zenithier,443596224,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Zenithier,443596224,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Marauder Vader
Zenithier,443596224,0,0,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Zenithier,443596224,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Zenithier,443596224,0,0,0,Seps (1%): Dooku Jango GG Geo Spy MagnaGuard
SniperLord,736453491,14,14,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kanon reloaded,236126683,0,0,0,SEE P1 5%: SEE Malak Darth Talon Sith Trooper Sith Marauder
Kanon reloaded,236126683,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Kanon reloaded,236126683,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Kanon reloaded,236126683,0,0,0,Seps (1%): Dooku Jango Nute GG AV
Kanon reloaded,236126683,0,0,0,JKL + JML (6%): JKL JMLS JKR Mace Old Ben
Kanon reloaded,236126683,0,0,0,SLKR+Armorer 12%: SL Kylo Armorer HYoda Daka Zombie
Kanon reloaded,236126683,0,0,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
Kanon reloaded,236126683,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio C-3PO
GunnyThePunisher,649558943,0,0,0,JKL + JML (6%): JKL JMLS HYoda Jolee Old Ben
GunnyThePunisher,649558943,6,6,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
GunnyThePunisher,649558943,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Da Beetle,772984483,39,39,0,Padme 3%: Padme JKA GK Ahsoka GMY
SzettyAlt,799913995,37,37,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
tanjo,558583215,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
tobster,971261337,7,7,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
2Crunchy,244595374,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Mol Eliza,656773532,10,10,0,SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn
Sidrial,348549185,0,0,0,SEE P1 5%: SEE Malak DR Sith Marauder Vader
Soojalembene,878522874,1,1,0,SEE P1 5%: SEE Malak EP Sith Marauder Vader
Geovo,896122332,0,0,0,JMK (8%): JMK GK Ahsoka CAT GAS
Geovo,896122332,0,0,0,SLKR 8%: SL Kylo Hux Sith Trooper KRU FOST
Geovo,896122332,0,0,0,Rebels (2%): CLS Chewbacca Han Chewpio R2-D2
Geovo,896122332,0,0,0,JKL + JML (6%): JKL JMLS JKR GMY Old Ben
Geovo,896122332,15,15,0,Shaak 6%: Shaak Ti Fives Rex Echo (501st) ARC Trooper
MINI ASplendidJedi,455414534,20,10,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
MINI ASplendidJedi,455414534,15,2,13,p1: Padme 3%: Padme G10 JKA GK G13 Ahsoka C-3PO
Mol Eliza,656773532,22,0,22,p2: Imperial Troopers 5%: Veers R3 Piett Gideon G11 Starck G12 Dark Trooper G11
GunnyThePunisher,649558943,6,0,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Rice Powered,218278765,24,1,23,p1: Vader P1 10%: Vader KRU G10 Wat Tambor G9 C-3PO BB-8 G12
JediLukeSkywalker,548318682,22,0,22,p2: Vader+Wat 8%: Vader EP Thrawn Wat Tambor G5 Starck G9
Wacky Wookiee,153559257,33,0,33,p4: Seps (1%): Dooku G9 Jango G12 Sun Fac G12 Geo Spy G12 GBA G12
Wacky Wookiee,153559257,36,0,36,p1: Padme 3%: Padme G11 JKA G11 GK G10 Ahsoka G10 GMY G12
Wacky Wookiee,153559257,36,3,33,p2: Vader+Nute 12%: Vader Nute G7 Thrawn G12 Wat Tambor G10 6* Traya G10 6*
Cha22y,761457315,16,9,7,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G11
Kaladin690,564158266,17,8,9,p4: Rebels (2%): CLS Chewbacca Han Chewpio C-3PO G9
Kaladin690,564158266,39,27,12,p1: Padme 3%: Padme G12 JKA GK Ahsoka GMY G12
2Crunchy,244595374,19,9,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
Redaxfive,669472598,13,1,12,p1: Padme 3%: Padme G12 JKA GK Ahsoka G12 GMY
Redaxfive,669472598,14,0,14,p4: GG (2%): GG B1 R3 Droideka G12 B2 G12 MagnaGuard
BlackKobra77,495911322,12,6,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Ronin Khael,633311685,13,7,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Dark Baszko,935436975,26,20,6,p2: Shaak 6%: Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Dark Baszko,935436975,21,8,13,p4: GG (2%): GG B1 R4 Droideka G12 B2 G12 MagnaGuard
Dark side rules,556374624,11,0,11,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G7 6*
tanjo,558583215,15,9,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
FriedRedMonkey,114279529,12,11,1,p2: Shaak 6%: Shaak Ti R4 Fives Rex Echo (501st) ARC Trooper
FriedRedMonkey,114279529,15,12,3,p1: Padme 3%: Padme R4 JKA GK Ahsoka R4 GMY R4
MrEMustard,916322553,42,41,1,p4: Rebels (2%): CLS R4 Chewbacca Han Chewpio R2-D2
ISB Coøkie,917286274,17,0,17,p2: Imperial Troopers 5%: Veers R3 Piett Gideon G11 Starck R3 Dark Trooper G12
ISB Coøkie,917286274,18,0,18,p4: GG (2%): GG G12 B1 R3 Droideka G12 B2 R3 MagnaGuard R3
Gutzag,714942936,14,8,6,p4: Rebels (2%): CLS Chewbacca Han Chewpio C-3PO G12
SniperLord,736453491,10,3,7,p4: GG (2%): GG B1 R3 Droideka R2 B2 R3 IG-88
SniperLord,736453491,1,0,1,p1: Padme 3%: Padme JKA GK Ahsoka R4 GMY
Veltto,724695932,25,0,25,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G11 GMY
Veltto,724695932,28,0,28,p4: Rebels (2%): CLS R3 Chewbacca G12 Han G12 Chewpio G10 R2-D2 G12
Jamesss,932183454,11,0,11,p1: Padme 3%: Padme R3 JKA R3 GK Ahsoka R3 GMY G13
Jamesss,932183454,12,4,8,p4: GG (2%): GG B1 Droideka G12 B2 R3 MagnaGuard
liam3265,578656337,43,8,35,p4: Rebels (2%): CLS G12 Chewbacca G11 Han G12 Chewpio G10 6* C-3PO G10 6*
Chris The Gràpe,382697645,17,6,11,p2: Imperial Troopers 5%: Veers R3 Piett Gideon Starck R3 Dark Trooper G11 6*
tobster,971261337,15,6,9,p2: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G9
Shart69,662285822,25,11,14,p2: Shaak 6%: Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
Algech Algolgomel,359156156,13,0,13,p4: GG (2%): GG B1 R3 Droideka R1 B2 R1 MagnaGuard R2
Marren,269783355,14,10,4,p3: Imperial Troopers 5%: Veers Piett Gideon R3 Starck R3 Dark Trooper
Marren,269783355,11,9,2,p2: Shaak 6%: Shaak Ti R3 Fives Rex Echo (501st) ARC Trooper
Harry TBE,212311983,13,9,4,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn R1
Soojalembene,878522874,13,0,13,p2: Imperial Troopers 5%: Veers R3 Piett Gideon G13 Starck R3 Dark Trooper R1
lnquisitor Maze,993878581,31,1,30,p1: Padme 3%: Padme G12 JKA G12 GK G12 Ahsoka G12 GMY G12
Good E2 Shoes,285356599,15,9,6,p2: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Melion77,934943462,2,0,2,p1: Padme 3%: Padme JKA GK Ahsoka GMY R3
Melion77,934943462,11,0,11,p4: GG (2%): GG B1 R3 Droideka R4 B2 R3 MagnaGuard G12
SzettyAlt,799913995,41,4,37,p3: Imperial Troopers 5%: Veers G10 Piett G10 Gideon G12 Range Trooper G9 Dark Trooper G12
SzettyAlt,799913995,37,2,35,p4: Rebels (2%): CLS G12 Chewbacca G11 6* Han G11 Chewpio G10 R2-D2 G11
Sidrial,348549185,9,0,9,p4: GG (2%): GG B1 R3 Droideka R4 B2 G12 Chewpio
Sidrial,348549185,14,0,14,p2: Imperial Troopers 5%: Veers Piett Gideon G10 Range Trooper G12 Dark Trooper
Thawk,895377488,35,30,5,p1: Padme 3%: Padme R3 JKA GK R4 Ahsoka R3 GMY
Dan,359935949,16,10,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
Dan,359935949,13,3,10,p1: Padme 3%: Padme R3 JKA GK R3 Ahsoka G12 C-3PO
Dan,359935949,11,9,2,p4: Rebels (2%): CLS R3 Chewbacca Han Chewpio C-3PO
Dan,359935949,15,9,6,p2: Shaak 6%: Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Geovo,896122332,10,4,6,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G12
CaptainDragonborn,826827254,36,0,36,p4: Seps (1%): Dooku G8 5* Jango G12 Sun Fac G11 Poggle G11 GBA G12
J3d1 Wampa,233129389,10,0,10,p3: SLKR+FO 9%: SL Kylo Hux FOST Sith Trooper Thrawn G8
IKEA,382247489,20,13,7,p1: Padme 3%: Padme R2 JKA GK R3 Ahsoka R3 GMY
Caseyyy,644777646,6,0,6,p2: Shaak 6%: Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper
Caseyyy,644777646,7,0,7,p1: Padme 3%: Padme JKA GK Ahsoka R1 GMY R2
Caseyyy,644777646,9,0,9,p4: GG (2%): GG B1 R3 Droideka G12 B2 R4 MagnaGuard
NameDoesntMatter,766675264,10,0,10,p1: SEE P1 5%: SEE Malak G8 5* EP Sith Marauder Vader
Bischmarck,828268378,38,24,14,p1: Padme 3%: Padme G12 JKA R3 GK Ahsoka G12 GMY
Rumdogg,118697339,12,0,12,p4: Rebels (2%): CLS Chewbacca Han Chewpio G12 C-3PO G12
