Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Nitz,991936212,0,0,0,GAS Special: GAS Ahsoka
Nitz,991936212,0,0,0,JKL: JKL HYoda GMY Jolee GK
Nitz,991936212,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Nitz,991936212,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
allidrA,673329616,0,0,0,GAS Special: GAS Ahsoka
allidrA,673329616,0,0,0,JKL: JKL HYoda GMY Jolee GK
allidrA,673329616,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
allidrA,673329616,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
allidrA,673329616,11,0,11,ROLO: ROLO Cpt Solo Leia Baze G5 Lando
Nitz'd,961325798,8,8,0,GAS Special: GAS Ahsoka
Nitz'd,961325798,17,17,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Zenithier,443596224,0,0,0,GAS Special: GAS Ahsoka
Zenithier,443596224,0,0,0,JKL: JKL HYoda GMY Jolee GK
Zenithier,443596224,0,0,0,CLS: CLS Han Chewbacca Chewpio C-3PO
Zenithier,443596224,0,0,0,Shaak Ti: Shaak Ti Rex Echo (501st) ARC Trooper Fives
Zenithier,443596224,5,0,5,ROLO: ROLO Cpt Solo Leia Baze G11 Lando
VoidedSouls24,896149329,17,0,17,CLS: CLS Han G12 Chewbacca G12 Chewpio G12 C-3PO G11 5*
