Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
IMAC1780,247782748,65,10,55,52974,Padme G1 JKA G8 5* Ahsoka G8 GK G7 GMY G11
Dimitris,181287221,63,5,58,39908,Padme G1 6* JKA G8 5* Ahsoka G12 GK G0 0* GMY G11 6*
BAI,488844648,0,0,0,148896,Padme JKA Ahsoka GK GMY
Merc,618651132,49,14,35,78175,Padme G9 JKA Ahsoka G8 GK G9 GMY G11
Dark Killer,755419552,46,6,40,77352,Padme G12 JKA G9 Ahsoka G11 GK G8 6* GMY G10
DDC,414812779,65,19,46,59738,Padme G8 JKA G8 5* Ahsoka G9 GK G7 GMY G12
Kaze no Hi,626549968,75,42,33,98363,Padme G12 JKA G11 Ahsoka G11 GK G11 GMY G12
SonofGrisha,761968935,0,0,0,154083,Padme JKA Ahsoka GK GMY
Hizashi Hyuga,681282268,54,22,32,89080,Padme G12 JKA G12 Ahsoka G11 GK G11 6* GMY G12
Economist,244796774,68,12,56,41789,Padme G1 5* JKA G11 Ahsoka G8 GK G8 6* GMY G6 5*
DasWindBurn,432819598,71,19,52,55901,Padme G1 JKA G8 5* Ahsoka G9 GK G9 GMY G11
Danikan Skysaucer,453528849,73,36,37,76156,Padme G8 JKA G12 Ahsoka G9 GK G12 GMY G12
Jeager,288811679,34,3,31,97087,Padme G12 JKA G12 Ahsoka G12 GK G11 6* GMY G12
Slartibartfast alt,677547467,87,48,39,74586,Padme G8 JKA G11 6* Ahsoka G11 GK G12 GMY G9 6*
MiniRogueJedi,265228822,60,13,47,53863,Padme G8 JKA G9 Ahsoka G8 GK G7 6* GMY G11
Zeta Sigma 74,644932613,19,9,10,124514,Padme R1 JKA Ahsoka GK GMY G12
Lil Gap,721276151,80,39,41,81012,Padme G11 JKA G9 6* Ahsoka G11 GK G8 GMY G10
NNMSdabber,424386656,75,27,48,64269,Padme G8 JKA G9 3* Ahsoka G11 GK G7 GMY G7
Dark Force User,697122373,0,0,0,149715,Padme JKA Ahsoka GK GMY
Skippykgt,269875868,83,27,56,58650,Padme G8 JKA G9 6* Ahsoka G7 GK G9 GMY G1 5*
Maulz,929372962,83,38,45,72599,Padme G11 JKA G8 5* Ahsoka G8 GK G7 GMY G11
Dash Riprock,663558394,0,0,0,153340,Padme JKA Ahsoka GK GMY
Silent,667983833,34,24,10,125645,Padme JKA G11 Ahsoka R3 GK GMY R4
Darkwizard126,199916727,88,29,59,36185,Padme G1 5* JKA G11 5* Ahsoka G8 5* GK G1 GMY G10
BD 1,945441983,67,35,32,85274,Padme G12 JKA G11 5* Ahsoka G12 GK G11 6* GMY G12
Shepard,915153266,71,48,23,107559,Padme G8 JKA G11 Ahsoka G12 GK GMY
BenBen,423837513,76,19,57,46147,Padme G0 0* JKA G5 3* Ahsoka G10 GK G9 GMY G9
QuilaCaz,453185837,66,21,45,57500,Padme G8 6* JKA G12 Ahsoka G9 GK G7 6* GMY G9
StormBless,573164649,63,38,25,94715,Padme JKA R3 Ahsoka G12 GK G9 GMY G10
Laxx C,284249628,64,0,64,45304,Padme G1 JKA G8 Ahsoka G8 GK G1 GMY G8
markyjseph,198536458,68,14,54,50692,Padme G0 0* JKA G8 5* Ahsoka G8 GK G8 5* GMY G12
Drink Some Tea,454624447,71,13,58,43522,Padme G1 5* JKA G8 Ahsoka G10 GK G1 5* GMY G12
TyTy19石头,667918273,0,0,0,147712,Padme JKA Ahsoka GK GMY
Stryker,171969987,60,24,36,82574,Padme G7 JKA G8 5* Ahsoka G12 GK G12 GMY R2
Savage frenzy,654386434,73,15,58,39848,Padme G7 JKA G10 6* Ahsoka G8 GK G1 GMY G6
Dr Pepper,214958952,0,0,0,152782,Padme JKA Ahsoka GK GMY
loypop13,223946436,0,0,0,156225,Padme JKA Ahsoka GK GMY
Dobbz,692459781,66,60,6,122483,Padme JKA Ahsoka GK GMY G12
Darth1 Daddy,318222584,29,1,28,93877,Padme G8 6* JKA Ahsoka G12 GK G12 GMY G12
Dash Riprock alt,533182519,59,15,44,66678,Padme G0 0* JKA G12 Ahsoka G10 GK G12 GMY G12
Grig,655635129,0,0,0,152764,Padme JKA Ahsoka GK GMY
Geekytiger,965999173,73,17,56,46762,Padme G7 JKA G9 5* Ahsoka G8 GK G9 6* GMY G1
SPETSNAZBH05,564615724,77,42,35,88008,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G7
gabou2506,752533649,65,12,53,60087,Padme G1 5* JKA G10 Ahsoka G9 GK G8 GMY G9
ARCNiNjai,682233137,67,55,12,114478,Padme JKA G12 Ahsoka GK GMY G12
Slartibartfast,625761274,78,15,63,34587,Padme G1 6* JKA G4 4* Ahsoka G6 GK G7 GMY G9
CT 2905,145211637,56,31,25,105148,Padme JKA G12 Ahsoka GK G11 6* GMY G6
PirateFTW,252624558,57,0,57,53176,Padme G1 5* JKA G12 Ahsoka G10 GK G0 0* GMY G10
JediLukeSkywalker Alt,873328237,81,48,33,92547,Padme G13 JKA G12 Ahsoka G12 GK G13 GMY G7
