Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Partyanimal,257536584,52,0,52,54357,Shaak Ti G0 0* Fives G11 Rex G9 Echo (501st) G9 ARC Trooper G9
IMAC1780,247782748,66,36,30,87008,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Grig,655635129,0,0,0,153014,Shaak Ti Fives Rex Echo (501st) ARC Trooper
QuilaCaz,453185837,66,0,66,33026,Shaak Ti G0 0* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Dash Riprock,663558394,6,2,4,138906,Shaak Ti R1 Fives Rex Echo (501st) ARC Trooper
BD 1,945441983,64,33,31,89258,Shaak Ti G11 6* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
Tommithan,183484659,84,0,84,15406,Shaak Ti G1 3* Fives G1 Rex G3 Echo (501st) G1 ARC Trooper G0 0*
Lil Gap,721276151,90,25,65,31055,Shaak Ti G1 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Drink Some Tea,454624447,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Kaze no Hi,626549968,85,27,58,43816,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G7 5*
TyTy19石头,667918273,42,9,33,93575,Shaak Ti Fives G8 Rex R2 Echo (501st) G9 ARC Trooper G7 6*
NNMSdabber,424386656,86,21,65,25572,Shaak Ti G1 4* Fives G8 Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
CT 2905,145211637,55,33,22,101185,Shaak Ti G11 6* Fives Rex Echo (501st) G11 ARC Trooper G10
Merc,618651132,59,4,55,38723,Shaak Ti G8 4* Fives G8 Rex G6 Echo (501st) G7 ARC Trooper G6
Slartibartfast,625761274,88,3,85,3510,Shaak Ti G1 2* Fives G2 4* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
SPETSNAZBH05,564615724,85,55,30,99359,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
PirateFTW,252624558,86,0,86,14982,Shaak Ti G1 4* Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G0 0*
markyjseph,198536458,90,24,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Dobbz,692459781,66,12,54,51124,Shaak Ti G11 Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G1 6*
Dr Pepper,214958952,5,0,5,141229,Shaak Ti Fives Rex R2 Echo (501st) R3 ARC Trooper
Dimitris,181287221,66,1,65,20787,Shaak Ti G1 2* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Shepard,915153266,87,87,0,132405,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Dash Riprock alt,533182519,66,1,65,20734,Shaak Ti G1 2* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Obi,726269242,18,0,18,116977,Shaak Ti G12 Fives R3 Rex R3 Echo (501st) R3 ARC Trooper G12
Zeta Sigma 74,644932613,44,17,27,104641,Shaak Ti G11 Fives R1 Rex R1 Echo (501st) G12 ARC Trooper G12
Silent,667983833,33,9,24,111655,Shaak Ti Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
gabou2506,752533649,37,1,36,94980,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G9 ARC Trooper G9
SonofGrisha,761968935,0,0,0,151221,Shaak Ti Fives Rex Echo (501st) ARC Trooper
BAI,488844648,0,0,0,149632,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ARCNiNjai,682233137,66,36,30,96797,Shaak Ti G12 Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G12
spannerdave,546632278,26,0,26,108418,Shaak Ti G9 Fives Rex Echo (501st) G11 ARC Trooper G8
Savage frenzy,654386434,78,7,71,14494,Shaak Ti G1 4* Fives G6 Rex G3 5* Echo (501st) G4 4* ARC Trooper G5 4*
Stryker,171969987,86,46,40,77755,Shaak Ti G9 Fives G10 Rex G11 Echo (501st) G9 ARC Trooper G11
Jeager,288811679,52,0,52,47512,Shaak Ti G7 4* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G7 5*
MC One,496367998,0,0,0,133208,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Slartibartfast alt,677547467,90,55,35,88087,Shaak Ti G9 6* Fives G12 Rex G12 Echo (501st) G12 ARC Trooper G10
Hizashi Hyuga,681282268,87,7,80,12234,Shaak Ti G1 4* Fives G1 3* Rex G7 Echo (501st) G1 3* ARC Trooper G0 0*
JediLukeSkywalker Alt,873328237,87,38,49,48589,Shaak Ti G0 0* Fives G10 Rex G11 Echo (501st) G10 ARC Trooper G10
Wiz Kalifa,529558373,66,2,64,29868,Shaak Ti G1 2* Fives G8 Rex G9 Echo (501st) G8 5* ARC Trooper G0 0*
BenBen,423837513,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
DDC,414812779,66,30,36,90372,Shaak Ti G9 Fives G11 Rex G12 Echo (501st) G12 ARC Trooper G10
