Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Jeremy,183451598,0,0,0,150790,Padme JKA Ahsoka GK GMY
Mtb,632271723,0,0,0,166174,Padme JKA Ahsoka GK GMY
MINI LordBassoli,826748125,8,0,8,140517,Padme G12 JKA R3 Ahsoka GK GMY
schembri,852538859,9,9,0,154358,Padme JKA Ahsoka GK GMY
Donkey Kong,276523743,4,2,2,146094,Padme R4 JKA Ahsoka R4 GK GMY
anOOrmaly,232971818,1,1,0,155954,Padme JKA Ahsoka GK GMY
Algandar,258979998,4,4,0,160347,Padme JKA Ahsoka GK GMY
Snorkelbenda,998413324,0,0,0,155886,Padme JKA Ahsoka GK GMY
Savage,297519872,0,0,0,157076,Padme JKA Ahsoka GK GMY
PChan,639899497,0,0,0,157569,Padme JKA Ahsoka GK GMY
BabyWiam,659121683,0,0,0,153652,Padme JKA Ahsoka GK GMY
Xile,788888212,0,0,0,154452,Padme JKA Ahsoka GK GMY
Seve,733846924,0,0,0,154528,Padme JKA Ahsoka GK GMY
Ponda Baba,565915987,8,5,3,145943,Padme R4 JKA Ahsoka R3 GK GMY
Andrew,568458516,2,0,2,152968,Padme JKA Ahsoka R3 GK GMY
Ping,669828157,0,0,0,158340,Padme JKA Ahsoka GK GMY
CaptainCoom,791749373,0,0,0,157770,Padme JKA Ahsoka GK GMY
DarthBolognese,139445371,3,0,3,145068,Padme R3 JKA Ahsoka R4 GK GMY
darkside,171697539,0,0,0,154286,Padme JKA Ahsoka GK GMY
MilHouse,245782881,0,0,0,156194,Padme JKA Ahsoka GK GMY
Sean Palgrave,167581191,0,0,0,156291,Padme JKA Ahsoka GK GMY
StarKiller07,223111916,0,0,0,154766,Padme JKA Ahsoka GK GMY
IL,383349685,0,0,0,154762,Padme JKA Ahsoka GK GMY
ZokyDawg CPR,224667393,0,0,0,152268,Padme JKA Ahsoka GK GMY
TheIronCarrot,779825927,0,0,0,157770,Padme JKA Ahsoka GK GMY
Woggex,437342655,2,0,2,139537,Padme JKA Ahsoka GK GMY R3
Reschdog,353733889,0,0,0,159846,Padme JKA Ahsoka GK GMY
thcspitfire,155359364,6,0,6,150568,Padme JKA Ahsoka G12 GK GMY
Greatfuljed I,717658145,0,0,0,151670,Padme JKA Ahsoka GK GMY
Unclad,372639244,0,0,0,151524,Padme JKA Ahsoka GK GMY
MINI Kovacs,262231432,0,0,0,151436,Padme JKA Ahsoka GK GMY
Pokey,839995558,0,0,0,156899,Padme JKA Ahsoka GK GMY
TK2618,375869453,0,0,0,158040,Padme JKA Ahsoka GK GMY
SonnyOlivia,841834798,2,1,1,155950,Padme JKA Ahsoka R4 GK GMY
TobiwanKenobi,696297162,13,11,2,154408,Padme JKA Ahsoka R3 GK GMY
CoffeeNCigarettes,343399131,0,0,0,158159,Padme JKA Ahsoka GK GMY
Savagediva,497531654,0,0,0,156345,Padme JKA Ahsoka GK GMY
Hazzadcr,425115682,0,0,0,158178,Padme JKA Ahsoka GK GMY
Gunn Sharky,778977693,7,5,2,149645,Padme JKA Ahsoka R3 GK GMY
Angar,926437769,9,0,9,136214,Padme G12 JKA R4 Ahsoka R3 GK GMY
Thommo,951131143,1,1,0,154646,Padme JKA Ahsoka GK GMY
Wsummerspring,594122685,0,0,0,156074,Padme JKA Ahsoka GK GMY
BA,285453629,0,0,0,162524,Padme JKA Ahsoka GK GMY
Stanleyclimbfall,349879784,5,0,5,144290,Padme R2 JKA Ahsoka R3 GK GMY
Archie D2,716192825,9,4,5,142073,Padme R3 JKA R3 Ahsoka R4 GK GMY
Rhevis,126515217,7,6,1,146716,Padme R4 JKA Ahsoka GK GMY
Hootkins,193479255,1,1,0,152466,Padme JKA Ahsoka GK GMY
Yodizzle,611122258,0,0,0,150923,Padme JKA Ahsoka GK GMY
Execute Order 69,743154738,0,0,0,149998,Padme JKA Ahsoka GK GMY
