Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Robby Hanenburg,265566658,0,0,0,146655,Padme JKA Ahsoka GK GMY
Altern8,453728856,0,0,0,155915,Padme JKA Ahsoka GK GMY
Husky,426623327,13,9,4,140271,Padme JKA Ahsoka GK GMY R1
Amish Thunder,176912959,11,11,0,135929,Padme JKA Ahsoka GK GMY
Stu Karnus,531577471,22,9,13,123857,Padme R3 JKA R1 Ahsoka R3 GK GMY G13
MIL2F NOW,427479521,10,1,9,128091,Padme R4 JKA G13 Ahsoka R2 GK GMY
Chef,528421884,0,0,0,142711,Padme JKA Ahsoka GK GMY
Rex,641548843,3,2,1,142942,Padme JKA Ahsoka GK GMY R4
Darthtim,146688265,8,4,4,135529,Padme R4 JKA Ahsoka R4 GK GMY R3
Daneth Guin,827981268,8,2,6,150016,Padme JKA Ahsoka G12 GK GMY
Aynida Ghiobb,936233587,0,0,0,150083,Padme JKA Ahsoka GK GMY
Sammy T,889255878,8,5,3,145525,Padme R2 JKA Ahsoka GK GMY
yoadreane,578743589,6,6,0,136904,Padme JKA Ahsoka GK GMY
Vitiate,511332971,53,12,41,78143,Padme G1 JKA Ahsoka G11 GK G7 GMY G12
Reaperfication,495835681,10,6,4,141258,Padme R1 JKA Ahsoka GK GMY
lim,182423932,4,1,3,140664,Padme R4 JKA R4 Ahsoka R4 GK GMY
StradsMan3,932773673,12,4,8,135029,Padme R3 JKA Ahsoka R3 GK GMY R1
Korvan,892356389,0,0,0,154259,Padme JKA Ahsoka GK GMY
Dark Helmet,168861666,8,6,2,144021,Padme R4 JKA Ahsoka R4 GK GMY
BigDaddy89,811475665,0,0,0,152573,Padme JKA Ahsoka GK GMY
Noname Q,927523775,6,5,1,134366,Padme JKA Ahsoka GK GMY R4
Zayelt Yazmin,921894553,0,0,0,147421,Padme JKA Ahsoka GK GMY
Garm Bel Iblis,326479556,0,0,0,147678,Padme JKA Ahsoka GK GMY
Andres,436292767,6,4,2,148967,Padme JKA R3 Ahsoka GK GMY
MasterExploder,871232367,9,3,6,131814,Padme JKA Ahsoka GK GMY G12
Meeraval Marnath,945775464,0,0,0,145988,Padme JKA Ahsoka GK GMY
TamTam,557479928,14,12,2,148964,Padme JKA Ahsoka R3 GK GMY
Azrian Wayfinder,534697898,6,6,0,152412,Padme JKA Ahsoka GK GMY
Skycrawler,622484469,12,0,12,127539,Padme JKA G12 Ahsoka GK GMY G12
DimmaDome33,448744531,22,0,22,98305,Padme G10 JKA Ahsoka G10 GK GMY G12
GameMasterTy,638481212,16,14,2,146735,Padme R3 JKA Ahsoka GK GMY
KreigerXenos,282691815,8,8,0,133880,Padme JKA Ahsoka GK GMY
KrypticKaoz,945359717,0,0,0,143950,Padme JKA Ahsoka GK GMY
Uvad Squirl,868679139,5,0,5,144204,Padme JKA Ahsoka GK GMY G13
Driller,456288429,18,0,18,111600,Padme R3 JKA G12 Ahsoka R3 GK R3 GMY G12
Stu McGree,659723461,0,0,0,145989,Padme JKA Ahsoka GK GMY
Ashaman,793686414,9,3,6,127090,Padme R4 JKA R2 Ahsoka R4 GK R4 GMY
Hego Damask,454521453,10,10,0,150725,Padme JKA Ahsoka GK GMY
DeathVader70,474878848,32,20,12,123661,Padme R3 JKA G12 Ahsoka R3 GK R3 GMY
Nettles123,147898847,12,12,0,148386,Padme JKA Ahsoka GK GMY
