Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Jawa7778,725233668,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Rabbit4t2,922828851,51,16,35,Vader+Nute 12%: Vader R3 Nute G11 Thrawn G9 Wat Tambor G8 Traya G11
Korblen,763468348,50,12,38,Vader+Nute 12%: Vader Nute G8 Thrawn G10 Wat Tambor G8 6* Traya G8
DanPal37,413355852,49,8,41,Vader+Nute 12%: Vader Nute G10 Thrawn G11 Wat Tambor G9 Traya G1
fives deserved better,578758976,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Schmiticus,488999866,45,14,31,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G9 Traya G9
Benstr8ballin,269281965,31,5,26,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G9 Traya G9
Bel Zetafar,616826226,43,13,30,Vader+Nute 12%: Vader R3 Nute R1 Thrawn R1 Wat Tambor G9 Traya G7
Hawk93524,621313442,37,12,25,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G11 Traya G8
Brooks,675754931,24,24,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
AmbitiousButRubbish,899278233,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
SamIAm,327975223,52,0,52,Vader+Nute 12%: Vader G12 Nute G9 Thrawn G8 5* Wat Tambor G2 Traya G7
Delara Exibil,195416517,26,8,18,Vader+Nute 12%: Vader Nute G13 Thrawn Wat Tambor G11 6* Traya G12
Rabhuhn,482518827,45,6,39,Vader+Nute 12%: Vader R2 Nute G11 Thrawn G8 5* Wat Tambor G9 Traya G8
ObiWanKenobi,984572597,48,7,41,Vader+Nute 12%: Vader R3 Nute G9 Thrawn G6 Wat Tambor G11 6* Traya G7
Godspeed,953335522,23,2,21,Vader+Wat 8%: Vader EP G12 Thrawn G12 Wat Tambor G9 Piett
Azrael,117388825,33,5,28,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G9 Traya G12
The Battleooze,673371964,38,3,35,Vader+Nute 12%: Vader Nute G11 Thrawn G8 Wat Tambor G10 6* Traya G8
Celestial,924236776,38,29,9,Vader+Nute 12%: Vader Nute Thrawn R3 Wat Tambor R3 Traya G13
ObiWanHardeen,494714142,35,16,19,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G11 6* Traya
PadmesHubby,827621144,28,22,6,Vader P1 10%: Vader KRU Wat Tambor C-3PO G12 Shaak Ti
Randal Houisth,821337555,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Kaveman,419233423,25,7,18,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya G12
Jacktil,164734883,37,4,33,Vader+Nute 12%: Vader R4 Nute G10 Thrawn G12 Wat Tambor G9 6* Traya G9
Ninjastatten,864833164,52,0,52,Vader+Nute 12%: Vader G8 Nute G8 Thrawn G7 6* Wat Tambor G5 Traya G10
bowtieZRcool,371881947,45,8,37,Vader+Nute 12%: Vader R3 Nute G10 Thrawn G9 Wat Tambor G9 6* Traya G9 6*
BRG Space Whale Herder,314931295,41,10,31,Vader+Nute 12%: Vader Nute G11 Thrawn G10 Wat Tambor G12 Traya G8
Shmeeegzz,734912572,45,0,45,Vader+Nute 12%: Vader R3 Nute G1 Thrawn G10 Wat Tambor G9 Traya G9
Elshondo,848839342,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Beast3,611197858,24,0,24,Vader+Nute 12%: Vader Nute G10 Thrawn Wat Tambor G10 Traya G10
Invective,753888611,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
TritonDankwalker66,818912973,45,1,44,Vader+Nute 12%: Vader G12 Nute G10 Thrawn G7 5* Wat Tambor G9 Traya G8
Nodin,259392334,37,3,34,Vader+Nute 12%: Vader Nute G12 Thrawn G9 Wat Tambor G8 Traya G9
DarthElshondo,689163274,43,16,27,Vader+Nute 12%: Vader R3 Nute R1 Thrawn G7 Wat Tambor Traya G8
Ur An Ugly Piece of,379598722,37,12,25,Vader+Nute 12%: Vader Nute Thrawn G11 Wat Tambor G11 Traya G7
Azrael0442,649841613,54,19,35,Vader P1 10%: Vader R3 KRU G8 Wat Tambor G7 C-3PO G12 Shaak Ti G12
Nerf Herder,979465369,24,4,20,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G12 Traya G11
Perez,298324787,44,5,39,Vader+Nute 12%: Vader G12 Nute G12 Thrawn G10 Wat Tambor G3 Traya R1
Wicket87,165669563,32,4,28,Vader+Nute 12%: Vader Nute R2 Thrawn G12 Wat Tambor G9 Traya G8
Sloth,661261825,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
wngsprd,436314662,30,6,24,Vader P1 10%: Vader KRU G7 Wat Tambor G7 6* C-3PO R3 Shaak Ti
MINI Hazedog,733479192,41,20,21,Vader+Nute 12%: Vader Nute G12 Thrawn G9 Wat Tambor Traya G12
NotFromEarth,127234541,21,1,20,Vader+Nute 12%: Vader Nute G11 Thrawn Wat Tambor G11 Traya G12
