Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
Alecblake123,485165597,0,0,0,Lord Vader: Hunter Tech Wrecker Tusken Raider Padme GAS Embo Echo (501st) Echo Dooku Zam BTL-B Y-wing Tarkin ARC Trooper Nute
Alecblake123,485165597,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Alecblake123,485165597,56,6,50,Jabba the Hutt: Krrsantan G12 Han Gamorrean Guard G12 Greedo G12 Skiff Guard (Lando Calrissian) G8 5* JKL Jawa G12 URoRRuR'R'R G12 C-3PO Boushh (Leia Organa) G9 5* Aurra R5 Fennec Shand Boba Mob Enforcer G12 Outrider
Alecblake123,485165597,0,0,0,Rey: JTR R2-D2 C-3PO BB-8 RT Scav Rey Finn Poe Vet Chewbacca Vet Han Resistance Pilot Holdo Rose RH Poe RH Finn
Alecblake123,485165597,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Alecblake123,485165597,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Alecblake123,485165597,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
Nitz,991936212,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Nitz,991936212,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing Leia HYoda Wedge Biggs Lando
Nitz,991936212,59,7,52,Sith Eternal Emperor: EP Vader RG G10 Piett Krennic G9 Sidious G12 Darth Maul G11 Dooku R5 Sith Marauder G12 Imperial TIE Bomber JKA Thrawn Tarkin G11 Veers G12 Starck G10
Nitz,991936212,0,0,0,Supreme Leader Kylo Ren: KRU Kylo FOST FOE FOO FOTP Phasma Hux FOSFTP Sith Trooper Vet Han EP Finalizer
allidrA,673329616,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
allidrA,673329616,53,15,38,Jedi Master Luke Skywalker: Old Ben JTR G0 0* C-3PO Mon Mothma G9 Chewpio JKL R2-D2 G12 Han Chewbacca Rebel Y-wing Leia HYoda Wedge R2 Biggs Lando
allidrA,673329616,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
Captainblinx,613873926,0,0,0,Jedi Master Kenobi: GK Bo-Katan Aayla Mace Negotiator GG Wat Tambor MagnaGuard Clone Sergeant QGJ GMY Jango Shaak Ti Cad Cody
Captainblinx,613873926,0,0,0,Jedi Master Luke Skywalker: Old Ben JTR C-3PO Mon Mothma Chewpio JKL R2-D2 Han Chewbacca Rebel Y-wing 6* Leia HYoda Wedge Biggs Lando
Captainblinx,613873926,0,0,0,Sith Eternal Emperor: EP Vader RG Piett Krennic Sidious Darth Maul Dooku Sith Marauder Imperial TIE Bomber JKA Thrawn Tarkin Veers Starck
znub,913947995,35,2,33,Supreme Leader Kylo Ren: KRU Kylo FOST G11 5* FOE FOO G12 FOTP Phasma Hux FOSFTP G12 Sith Trooper G11 5* Vet Han G8 4* EP R6 Finalizer 0*
