Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
DarthKailon,933888673,0,0,0,162917,Vader Wat Tambor BB-8 C-3PO KRU
Mandalorion Jrnyman,126964277,52,27,25,115772,Vader Wat Tambor G8 BB-8 G9 C-3PO G12 KRU
Lars Quell,151487741,40,24,16,130536,Vader R3 Wat Tambor BB-8 G12 C-3PO R4 KRU G11
Holmahnootz,375133234,42,29,13,130278,Vader Wat Tambor BB-8 G12 C-3PO KRU G11
David,451567767,23,16,7,147759,Vader Wat Tambor BB-8 G12 C-3PO KRU R4
Curren,995319291,51,41,10,141269,Vader Wat Tambor BB-8 G8 C-3PO KRU
Deef89,424563277,14,14,0,157401,Vader Wat Tambor BB-8 C-3PO KRU
Anton360247,757167173,48,21,27,123664,Vader Wat Tambor G12 BB-8 G9 C-3PO G12 KRU G12
Mordhelm,562791448,36,36,0,155272,Vader Wat Tambor BB-8 C-3PO KRU
Rendash Arend,557291511,51,41,10,141908,Vader R3 Wat Tambor BB-8 G12 C-3PO R3 KRU
FlibbidyDoo,872314944,24,11,13,132394,Vader Wat Tambor R1 BB-8 G9 C-3PO KRU
oogway,736683126,0,0,0,162890,Vader Wat Tambor BB-8 C-3PO KRU
Ro'bi wan,124599552,1,1,0,163505,Vader Wat Tambor BB-8 C-3PO KRU
DAGGOBILI,786851589,49,36,13,130671,Vader Wat Tambor BB-8 G7 C-3PO R3 KRU
Acesoka,668136538,7,7,0,155854,Vader Wat Tambor BB-8 C-3PO KRU
Rui Vuusen,829415495,35,27,8,140476,Vader Wat Tambor BB-8 G12 C-3PO R3 KRU
Wasburn09,129783432,30,7,23,117341,Vader Wat Tambor G1 BB-8 G12 C-3PO KRU
Flyt,831894956,34,14,20,120680,Vader Wat Tambor BB-8 G8 C-3PO KRU G8
Shamgar,514487916,13,1,12,145210,Vader Wat Tambor G12 BB-8 G12 C-3PO KRU
Frednerk,655585354,33,17,16,129624,Vader Wat Tambor BB-8 G8 C-3PO KRU G12
Jcerillo70,177357652,52,43,9,142176,Vader Wat Tambor BB-8 G9 C-3PO KRU
Al Greaf,778479137,27,8,19,126572,Vader Wat Tambor G9 BB-8 C-3PO KRU G8
Vaders Fist,128286681,0,0,0,159150,Vader Wat Tambor BB-8 C-3PO KRU
ItsTurtleTime,876758471,12,10,2,153674,Vader Wat Tambor BB-8 R3 C-3PO KRU
RP,524758942,12,6,6,147297,Vader Wat Tambor BB-8 G12 C-3PO KRU
Da Conquering One,765966569,18,4,14,135249,Vader Wat Tambor G10 BB-8 G12 C-3PO KRU
knaggs1120,722718646,51,17,34,107444,Vader G13 Wat Tambor G1 BB-8 G8 C-3PO R3 KRU
Wolfenstien,431257189,27,9,18,126966,Vader Wat Tambor BB-8 G9 C-3PO KRU G9
HR dpt Chatty's division,959622351,2,2,0,159074,Vader Wat Tambor BB-8 C-3PO KRU
Pﾑdme's Chﾑstity Belt,725514455,6,6,0,159201,Vader Wat Tambor BB-8 C-3PO KRU
BazookaJoe,282763552,18,4,14,126861,Vader Wat Tambor BB-8 G12 C-3PO KRU G10
Boyk Jhaatim,919177443,12,2,10,139246,Vader Wat Tambor BB-8 G11 C-3PO KRU R2
DarthScrimm,695948683,26,8,18,124234,Vader Wat Tambor G10 BB-8 G8 C-3PO KRU
Griffin,236743442,0,0,0,160551,Vader Wat Tambor BB-8 C-3PO KRU
darthAnology,268848548,0,0,0,159626,Vader Wat Tambor BB-8 C-3PO KRU
Jader,446271891,19,0,19,133330,Vader Wat Tambor BB-8 G9 C-3PO KRU G8
ClintonKilledEpstein,923593274,13,5,8,143386,Vader Wat Tambor BB-8 G10 C-3PO KRU
Gman3D 2,369548148,21,9,12,136192,Vader Wat Tambor BB-8 G12 C-3PO KRU G12
GravelSK,496916323,7,7,0,155865,Vader Wat Tambor BB-8 C-3PO KRU
YODAlay YODAlay YODAlayhehoo,415593382,41,25,16,125160,Vader Wat Tambor BB-8 G8 C-3PO G12 KRU
ThanosLeftHand,386556243,0,0,0,158895,Vader Wat Tambor BB-8 C-3PO KRU
Wrongfulpuppet,232337688,14,0,14,132401,Vader Wat Tambor G11 BB-8 G11 C-3PO KRU
Schmuckk007,858274497,9,2,7,146734,Vader Wat Tambor BB-8 G11 C-3PO KRU
Walan Lamor,181994418,16,0,16,135875,Vader Wat Tambor G10 6* BB-8 C-3PO R3 KRU G12
Ke Ke Mar,943347694,16,2,14,133537,Vader Wat Tambor R1 BB-8 G12 C-3PO KRU R1
Zem Malda,527394568,6,0,6,147552,Vader Wat Tambor BB-8 G12 C-3PO KRU
Kibleh Toht,512685275,21,0,21,122813,Vader Wat Tambor G10 BB-8 G11 C-3PO KRU G12
KailonTheGrey,445222445,0,0,0,161272,Vader Wat Tambor BB-8 C-3PO KRU
ATX ONE,659226473,0,0,0,165825,Vader Wat Tambor BB-8 C-3PO KRU
Ewoks Goin In Dry,448434423,6,0,6,149706,Vader Wat Tambor BB-8 C-3PO KRU G12
