Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
goat,733722543,64,0,64,40847,Shaak Ti G0 0* Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Thayn Borrallis,243215332,66,0,66,21377,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Eduardo Cadav,894338929,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Anko Dras,943841234,72,0,72,21907,Shaak Ti G0 0* Fives G8 Rex G7 Echo (501st) G3 4* ARC Trooper G0 0*
Jonathan,624248517,84,0,84,3476,Shaak Ti G1 2* Fives G4 4* Rex G0 0* Echo (501st) G1 3* ARC Trooper G0 0*
Random name 23,226826663,89,0,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Falen Bark,943942999,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Aaron,329331261,63,0,63,34636,Shaak Ti G0 0* Fives G9 6* Rex G10 5* Echo (501st) G8 5* ARC Trooper G0 0*
Xannax,917694266,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
jingles,813537184,66,0,66,20301,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
BSnerd172,726342453,66,0,66,28278,Shaak Ti G0 0* Fives G8 Rex G8 6* Echo (501st) G8 5* ARC Trooper G0 0*
Limubi,179681247,65,0,65,24156,Shaak Ti G0 0* Fives G9 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Shula Taka,185498168,87,0,87,3211,Shaak Ti G0 0* Fives G1 5* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Arne,578335228,66,0,66,21152,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Kenobij,463413417,78,0,78,8137,Shaak Ti G0 0* Fives G4 4* Rex G5 4* Echo (501st) G3 4* ARC Trooper G0 0*
Ghosty,595763532,62,0,62,41585,Shaak Ti G0 0* Fives G10 Rex G9 Echo (501st) G9 ARC Trooper G0 0*
Dallas,836527794,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Mol Eliza,374916481,66,0,66,21353,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Shady,672269869,64,0,64,30805,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 6* ARC Trooper G1 6*
BobOfDeath,917664227,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
dougertthecupcake,424377148,74,0,74,18778,Shaak Ti G0 0* Fives G6 Rex G6 Echo (501st) G4 6* ARC Trooper G0 0*
DaishoEFX,363918329,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Berosin,281831893,45,0,45,63562,Shaak Ti G9 6* Fives G9 Rex G9 Echo (501st) G9 ARC Trooper G9
NoMystikal,178876471,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
MasterOfCheese,312975262,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Bobert,768494478,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
MaraJadeSkywalker,489391169,81,0,81,11906,Shaak Ti G1 2* Fives G1 5* Rex G6 5* Echo (501st) G1 4* ARC Trooper G0 0*
Mol Eliza,489165415,71,0,71,9529,Shaak Ti G4 2* Fives G4 4* Rex G4 4* Echo (501st) G3 4* ARC Trooper G4 4*
DARTY NJC3,257748139,57,0,57,52784,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8
Capo,533914167,58,0,58,27305,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G8 4*
Force User,974974266,71,0,71,9228,Shaak Ti G0 0* Fives G5 4* Rex G5 4* Echo (501st) G5 4* ARC Trooper G4 4*
Relaysbtww,134245445,66,0,66,20769,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
JAWEN71,521437765,89,0,89,1024,Shaak Ti G0 0* Fives G1 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Sting,641185348,89,0,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
YerMan,937447579,55,0,55,45548,Shaak Ti G0 0* Fives G10 Rex G9 Echo (501st) G9 ARC Trooper G7 5*
Dovaron,795942262,86,0,86,2794,Shaak Ti G1 2* Fives G3 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
TheLoneWanderer84,749817979,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Zac,291513384,85,0,85,2496,Shaak Ti G0 0* Fives G2 3* Rex G0 0* Echo (501st) G3 3* ARC Trooper G0 0*
Tam Elyod,569938181,88,0,88,1127,Shaak Ti G1 2* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Irish Pitt,486673168,62,0,62,35172,Shaak Ti G0 0* Fives G7 Rex G7 Echo (501st) G7 ARC Trooper G7
Gul Ski,721785489,72,0,72,8350,Shaak Ti G0 0* Fives G6 4* Rex G6 4* Echo (501st) G6 3* ARC Trooper G0 0*
Sarsmi,429611224,81,0,81,12154,Shaak Ti G0 0* Fives G9 Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Hello there,944655278,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Echo Whisper,691715213,88,0,88,1127,Shaak Ti G1 2* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Delmon Ciiid'r,282956646,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Mol Eliza,784756889,89,0,89,1024,Shaak Ti G0 0* Fives G1 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Yato,145777492,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
