Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
jingles,813537184,66,0,66,20301,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Arne,578335228,66,0,66,21152,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Mol Eliza,374916481,66,0,66,21353,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
YerMan,937447579,55,3,52,51861,Shaak Ti G0 0* Fives G10 Rex G11 Echo (501st) G10 ARC Trooper G7 6*
Shula Taka,185498168,87,0,87,3211,Shaak Ti G0 0* Fives G1 5* Rex G1 4* Echo (501st) G1 3* ARC Trooper G0 0*
Jonathan,624248517,84,0,84,3476,Shaak Ti G1 2* Fives G4 4* Rex G0 0* Echo (501st) G1 3* ARC Trooper G0 0*
dougertthecupcake,424377148,74,0,74,18844,Shaak Ti G0 0* Fives G6 Rex G6 Echo (501st) G4 6* ARC Trooper G0 0*
Dallas,836527794,66,1,65,20734,Shaak Ti G1 2* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
MasterOfCheese,312975262,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Bobert,768494478,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Dovaron,795942262,86,0,86,2794,Shaak Ti G1 2* Fives G3 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
DaishoEFX,363918329,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Kenobij,463413417,78,0,78,8137,Shaak Ti G0 0* Fives G4 4* Rex G5 4* Echo (501st) G3 4* ARC Trooper G0 0*
Tam Elyod,569938181,88,0,88,1127,Shaak Ti G1 2* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
MaraJadeSkywalker,489391169,81,0,81,11906,Shaak Ti G1 2* Fives G1 5* Rex G6 5* Echo (501st) G1 4* ARC Trooper G0 0*
AVENGER,171143328,58,0,58,50719,Shaak Ti G8 3* Fives G10 Rex G7 Echo (501st) G7 ARC Trooper G0 0*
Xannax,917694266,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Ben,462878161,66,0,66,20283,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Mol Eliza,489165415,71,0,71,9529,Shaak Ti G4 2* Fives G4 4* Rex G4 4* Echo (501st) G3 4* ARC Trooper G4 4*
Htes Etihw,429835373,56,0,56,48335,Shaak Ti G0 0* Fives G9 Rex G9 Echo (501st) G8 ARC Trooper G8
Mol Eliza,784756889,89,0,89,1024,Shaak Ti G0 0* Fives G1 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Sting,641185348,89,0,89,676,Shaak Ti G0 0* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
reZ ToXiC,271658834,89,0,89,1014,Shaak Ti G0 0* Fives G0 0* Rex G1 4* Echo (501st) G0 0* ARC Trooper G0 0*
Eduardo Cadav,894338929,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
JediMasterKenobi,151953838,0,0,0,148148,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Limubi,179681247,65,0,65,24156,Shaak Ti G0 0* Fives G9 Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Thayn Borrallis,243215332,66,0,66,21377,Shaak Ti G0 0* Fives G8 5* Rex G8 5* Echo (501st) G8 5* ARC Trooper G0 0*
Sarsmi,429611224,81,0,81,12297,Shaak Ti G0 0* Fives G9 Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
DARTY NJC3,257748139,57,0,57,55438,Shaak Ti G0 0* Fives G9 Rex G8 Echo (501st) G8 ARC Trooper G8
goat,733722543,64,0,64,40847,Shaak Ti G0 0* Fives G10 Rex G8 Echo (501st) G8 ARC Trooper G0 0*
Falen Bark,943942999,90,0,90,0,Shaak Ti G0 0* Fives G0 0* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Gul Ski,721785489,72,0,72,9315,Shaak Ti G0 0* Fives G6 4* Rex G6 4* Echo (501st) G6 3* ARC Trooper G0 0*
JAWEN71,521437765,89,0,89,1024,Shaak Ti G0 0* Fives G1 4* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Echo Whisper,691715213,88,0,88,1127,Shaak Ti G1 2* Fives G1 3* Rex G0 0* Echo (501st) G0 0* ARC Trooper G0 0*
Shady,672269869,64,0,64,32800,Shaak Ti G1 2* Fives G8 Rex G8 Echo (501st) G8 ARC Trooper G1 6*
