Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,Team
FrogMan,687277858,16,0,16,Vader+Nute 12%: Vader R3 Nute G10 Thrawn Wat Tambor Traya G12
Gorgatron,369351434,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
TheyCallMeMrB,823529494,16,0,16,Vader P1 10%: Vader KRU Wat Tambor G8 C-3PO BB-8 G12
Waldo,288837662,16,0,16,Vader P1 10%: Vader R4 KRU Wat Tambor G7 C-3PO Shaak Ti R1
MasterMiller,851324396,13,0,13,Vader+Nute 12%: Vader R4 Nute G12 Thrawn Wat Tambor Traya G12
Kozisms formerly owen,834478884,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Frankie,441226825,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
FrostyTacos,526353323,13,0,13,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G11 Traya
Whitezilla,123158749,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
LegistheBEAST,763257271,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
The Hawk 28,238562913,28,0,28,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor G9 6* Traya G12
Troan Ziroc,542169378,21,0,21,Vader+Nute 12%: Vader Nute G11 Thrawn R3 Wat Tambor G12 Traya G12
Giran Ozzel,392189276,27,0,27,Vader+Nute 12%: Vader Nute G8 Thrawn Wat Tambor G12 Traya G7
Easy E,221724179,22,0,22,Vader+Nute 12%: Vader Nute G12 Thrawn G12 Wat Tambor G12 Traya R1
Tag1turn2,586129226,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Rick Sher Wood,635327491,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Tau Beta,454169494,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Sherman8erx,797288318,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
AndyJediDude,256488565,12,0,12,Vader+Nute 12%: Vader Nute G12 Thrawn Wat Tambor G12 Traya
RevNon,525662462,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Pvaulter175,182511842,19,0,19,Vader+Nute 12%: Vader Nute G11 Thrawn G12 Wat Tambor Traya G12
Obi Bells,926869286,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
serChetnik,279986735,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Ahhhchhoooo,233943766,18,0,18,Vader P1 10%: Vader KRU G10 Wat Tambor G8 C-3PO BB-8
DaveSkywalker,438297254,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Fosachi Walker,295449912,25,0,25,Vader+Nute 12%: Vader R4 Nute G11 Thrawn G12 Wat Tambor G8 6* Traya R4
Drakorhuin,184851337,28,0,28,Vader+Nute 12%: Vader Nute G5 Thrawn Wat Tambor G13 Traya G8
Busan Kaz,249938994,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
ST2618,514475855,17,0,17,Vader+Nute 12%: Vader Nute R1 Thrawn G11 Wat Tambor Traya G12
YodaRoy,343537915,19,0,19,Vader P1 10%: Vader KRU G6 2* Wat Tambor C-3PO G11 Shaak Ti
Dawnstriker,716135386,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
Samus,469558863,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Raiders,896535542,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Tharius Dawnbreaker,554516524,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
EthanDB123,927925635,33,0,33,Vader+Nute 12%: Vader Nute G8 Thrawn G12 Wat Tambor G7 5* Traya G12
LetTheWookieWin,964467523,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Enterthez,667311672,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
DarthKevin,519821548,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Tryptamine,196559132,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
JAXDEN,791163596,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
Beats4dayz,738694156,0,0,0,Vader+Nute 12%: Vader Nute Thrawn Wat Tambor Traya
White Devil,834598883,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Malak
Dawnbreaker,895889781,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO BB-8
KLUTCHxPLAGUEIS,227646131,0,0,0,Vader+Wat 8%: Vader EP Thrawn Wat Tambor Piett
Pro Bono,747932311,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Nick,444371281,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
Zeta,999133947,0,0,0,Vader P1 10%: Vader KRU Wat Tambor C-3PO Shaak Ti
