Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Obi Bells,926869286,22,0,22,113731,Shaak Ti G12 Fives R4 Rex R2 Echo (501st) G12 ARC Trooper G12
DarthKevin,519821548,0,0,0,144473,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Troan Ziroc,542169378,16,0,16,119944,Shaak Ti Fives R1 Rex R1 Echo (501st) R1 ARC Trooper R1
Tharius Dawnbreaker,554516524,44,44,0,134469,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Bradshoe02,816917778,30,20,10,124711,Shaak Ti G12 Fives Rex Echo (501st) R3 ARC Trooper R3
Dawnbreaker,895889781,36,36,0,145011,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Zeta,999133947,38,38,0,152161,Shaak Ti Fives Rex Echo (501st) ARC Trooper
shausrath,944524846,51,44,7,128487,Shaak Ti G12 Fives Rex Echo (501st) ARC Trooper R4
Tau Beta,454169494,38,9,29,102053,Shaak Ti Fives G10 Rex G12 Echo (501st) G12 ARC Trooper G9 6*
Tryptamine,196559132,0,0,0,152444,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Pvaulter175,182511842,54,54,0,139363,Shaak Ti Fives Rex Echo (501st) ARC Trooper
ST2618,514475855,3,3,0,140210,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Enterthez,667311672,48,2,46,75697,Shaak Ti G12 Fives G11 Rex G11 Echo (501st) G9 ARC Trooper G1
Giran Ozzel,392189276,49,0,49,63591,Shaak Ti G7 5* Fives G9 Rex G10 Echo (501st) G7 ARC Trooper G8
AndyJediDude,256488565,0,0,0,139122,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Karnish,242539527,50,2,48,67659,Shaak Ti G12 Fives G9 Rex G11 Echo (501st) G10 ARC Trooper G0 0*
DaveSkywalker,438297254,52,52,0,140109,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Gorgatron,369351434,0,0,0,152546,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Raiders,896535542,7,7,0,153869,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Tag1turn2,586129226,0,0,0,138429,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Drakorhuin,184851337,59,59,0,153900,Shaak Ti Fives Rex Echo (501st) ARC Trooper
LetTheWookieWin,964467523,67,67,0,142173,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ahhhchhoooo,233943766,71,71,0,132999,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FrostyTacos,526353323,32,0,32,95801,Shaak Ti G11 5* Fives R3 Rex G12 Echo (501st) G11 ARC Trooper G8 5*
Waldo,288837662,29,21,8,129313,Shaak Ti R1 Fives Rex Echo (501st) R3 ARC Trooper R3
serChetnik,279986735,13,13,0,138557,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Jocarr55,266261837,0,0,0,147314,Shaak Ti Fives Rex Echo (501st) ARC Trooper
RemusQui Spiuar,229461428,8,0,8,130988,Shaak Ti Fives R3 Rex R3 Echo (501st) R3 ARC Trooper R3
TheyCallMeMrB,823529494,88,3,85,32308,Shaak Ti G1 Fives G1 Rex G1 Echo (501st) G1 ARC Trooper G1
LegistheBEAST,763257271,19,19,0,138347,Shaak Ti Fives Rex Echo (501st) ARC Trooper
YodaRoy,343537915,22,22,0,151077,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Ryzilio,626639748,37,28,9,125591,Shaak Ti Fives Rex Echo (501st) R2 ARC Trooper G12
Whitezilla,123158749,23,23,0,149520,Shaak Ti Fives Rex Echo (501st) ARC Trooper
MasterMiller,851324396,1,1,0,141133,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Easy E,221724179,24,24,0,134830,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Rick Sher Wood,635327491,27,17,10,138350,Shaak Ti Fives G12 Rex R1 Echo (501st) ARC Trooper
White Devil,834598883,65,60,5,138080,Shaak Ti Fives R1 Rex R4 Echo (501st) ARC Trooper
Pro Bono,747932311,45,39,6,141774,Shaak Ti Fives G12 Rex Echo (501st) ARC Trooper
Samus,469558863,0,0,0,141296,Shaak Ti Fives Rex Echo (501st) ARC Trooper
CookieWitHoodie,483462213,33,6,27,107492,Shaak Ti Fives G11 Rex G12 Echo (501st) G11 ARC Trooper G11
Beats4dayz,738694156,16,0,16,122619,Shaak Ti Fives R3 Rex R3 Echo (501st) G12 ARC Trooper G12
JAXDEN,791163596,0,0,0,154850,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Frankie,441226825,0,0,0,145849,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Busan Kaz,249938994,0,0,0,154834,Shaak Ti Fives Rex Echo (501st) ARC Trooper
The Hawk 28,238562913,29,1,28,102579,Shaak Ti R4 Fives R2 Rex G11 Echo (501st) G11 ARC Trooper G8
Kozisms formerly owen,834478884,30,28,2,143145,Shaak Ti Fives Rex R3 Echo (501st) ARC Trooper
RevNon,525662462,0,0,0,140867,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Nick,444371281,0,0,0,142586,Shaak Ti Fives Rex Echo (501st) ARC Trooper
FrogMan,687277858,48,48,0,138111,Shaak Ti Fives Rex Echo (501st) ARC Trooper
Sherman8erx,797288318,20,0,20,115462,Shaak Ti G12 Fives R3 Rex Echo (501st) G12 ARC Trooper G12
