Player,Ally Code,Starting Gear Needed,Progress,Current Gear Needed,GP,Team
Millz20,684712353,54,54,0,143405,Padme JKA Ahsoka GK GMY
Zar Anduli,889632856,60,45,15,117984,Padme G12 JKA R3 Ahsoka R2 GK R3 GMY R3
Trav,146343631,51,50,1,135165,Padme JKA Ahsoka R4 GK GMY
Danja,583496927,19,16,3,134510,Padme JKA R3 Ahsoka GK GMY R4
Millz,332392187,30,6,24,114424,Padme G12 JKA G12 Ahsoka G12 GK GMY G12
The JLS,647474141,61,39,22,115915,Padme G12 JKA G12 Ahsoka GK GMY G8
Jose Longo,633696187,37,37,0,136053,Padme JKA Ahsoka GK GMY
Bakufett,152667675,67,45,22,106894,Padme G12 JKA G3 3* Ahsoka R4 GK GMY
Naga Sadów,936392725,46,13,33,86743,Padme G7 JKA G12 Ahsoka G12 GK G8 GMY
Gloom Walker,516227655,39,26,13,117764,Padme G12 JKA Ahsoka R4 GK GMY G12
Peepeepoopooman,827513585,63,17,46,65910,Padme G5 JKA G8 6* Ahsoka G11 GK G8 GMY G12
KingKrille,295729596,42,36,6,127803,Padme R3 JKA R3 Ahsoka R3 GK GMY
MrPickles,237175899,57,25,32,91826,Padme G7 6* JKA G12 Ahsoka G12 GK G9 GMY
MINI Techno Union,648966762,45,15,30,96861,Padme G8 JKA Ahsoka G11 GK G12 GMY G11
Sneaky Soy Boy 123,494765873,70,17,53,61760,Padme G1 JKA G9 6* Ahsoka G8 GK G7 GMY G12
Untamed Sloth,741217131,65,34,31,96356,Padme G12 JKA G13 Ahsoka G12 GK G13 GMY G9
Schmidty2318,419954121,81,73,8,123624,Padme R3 JKA Ahsoka R3 GK R3 GMY R3
Tantema Garnik,788233588,57,12,45,75098,Padme G1 JKA G1 Ahsoka G7 GK GMY
Jannah Longo,482599677,52,22,30,107327,Padme G12 JKA G12 Ahsoka G12 GK G12 GMY G12
lucathepuka,812752189,83,6,77,18572,Padme G0 0* JKA G3 1* Ahsoka G8 GK G1 5* GMY G1
blactastic,281334117,80,58,22,108318,Padme G12 JKA R3 Ahsoka G12 GK R3 GMY G12
B,948356963,63,61,2,132460,Padme JKA Ahsoka GK GMY R3
MatejC,759526265,64,37,27,93600,Padme G12 JKA R3 Ahsoka G12 GK G11 6* GMY G12
TRICKSHOT,436272696,54,13,41,71695,Padme G7 JKA G12 Ahsoka G8 GK G11 6* GMY G11
Iridium,812495668,6,0,6,145389,Padme JKA Ahsoka G12 GK GMY
Fatbabyshark,456783236,63,45,18,111557,Padme R2 JKA R2 Ahsoka R3 GK R1 GMY G12
Gerehe Zosma,441557869,68,23,45,52826,Padme G7 JKA G8 5* Ahsoka G8 GK G10 6* GMY G12
Stahzo,647615227,20,1,19,119407,Padme G12 JKA G11 Ahsoka G12 GK GMY
YeeterSkeeter,819259195,60,46,14,120177,Padme R3 JKA R3 Ahsoka R3 GK R3 GMY G12
j13hall13,662956843,26,13,13,119859,Padme JKA Ahsoka G12 GK R3 GMY G13
SirSchuSchu,863647631,1,1,0,143268,Padme JKA Ahsoka GK GMY
PorgWhispererV2,662884978,73,3,70,21496,Padme G0 0* JKA G11 5* Ahsoka G8 GK G1 5* GMY G0 0*
Dark Shawi,144245956,51,22,29,93993,Padme G8 JKA G6 6* Ahsoka G12 GK R4 GMY
wookieguy69,912381174,31,9,22,109014,Padme R3 JKA G12 Ahsoka G12 GK R3 GMY G12
Bobmaloogax5,993486218,37,30,7,132495,Padme R4 JKA G12 Ahsoka GK GMY
Bski,938232767,0,0,0,138811,Padme JKA Ahsoka GK GMY
Mol Eliza,669656989,54,0,54,64124,Padme G2 5* JKA G8 Ahsoka G8 GK G6 GMY G12
canth reed,552172719,80,2,78,7627,Padme G0 0* JKA G6 3* Ahsoka G6 5* GK G0 0* GMY G0 0*
Abra,184464142,44,0,44,81611,Padme G9 JKA G10 Ahsoka G8 GK G8 GMY G11
DarthTalon,387869794,7,0,7,129404,Padme R4 JKA Ahsoka R1 GK R4 GMY R4
Mulleg,193362682,61,26,35,78230,Padme G8 JKA G6 4* Ahsoka G11 GK G12 GMY
Valektra Jetberg,661932482,50,6,44,73660,Padme G7 6* JKA G8 6* Ahsoka G12 GK G7 GMY G12
FunkyWizard,217482916,33,0,33,92406,Padme G9 JKA G12 Ahsoka G12 GK G12 GMY G12
Kenn Skirata,446373369,65,45,20,107048,Padme JKA Ahsoka R3 GK R3 GMY G2
Gundam Viver,278185814,55,0,55,59391,Padme G1 JKA G1 2* Ahsoka G9 GK G12 GMY G12
Raxle Alucard,193724798,42,0,42,75366,Padme G7 6* JKA G10 Ahsoka G10 GK G9 6* GMY G12
Willey,136186513,0,0,0,134951,Padme JKA Ahsoka GK GMY
